"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","count3","dil3","ec_conc"
"09_33_1062",9,"2018-11-23",33,"Spring Water","1062",TRUE,"5",905,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1063",9,"2018-11-23",33,"Spring Water","1063",TRUE,"5",905,1,9,,10,100,,1,9,,9,1,100,10,,,9.5
"09_33_1064",9,"2018-11-23",33,"Spring Water","1064",TRUE,"5",905,1,0,,10,100,,1,0,,0,1,100,10,,,
"09_33_1065",9,"2018-11-23",33,"Spring Water","1065",TRUE,"5",905,999,25,,10,1,,999,25,,999,25,10,1,,,2500
"09_33_1066",9,"2018-11-23",33,"Spring Water","1066",TRUE,"5",905,1,0,,10,100,,1,0,,0,1,100,10,,,
"09_33_1067",9,"2018-11-23",33,"Spring Water","1067",TRUE,"5",905,1,14,,10,100,,1,14,,14,1,100,10,,,14
"09_33_1068",9,"2018-11-23",33,"Spring Water","1068",TRUE,"5",905,2,2,,10,1,,2,2,,2,2,10,1,,,110
"09_33_1069",9,"2018-11-23",33,"Spring Water","1069",TRUE,"5",905,8,65,,10,100,,8,65,,65,8,100,10,,,65
"09_33_1070",9,"2018-11-23",33,"Spring Water","1070",TRUE,"5",905,2,0,,10,100,,2,0,,0,2,100,10,,,
"09_33_1071",9,"2019-01-10",33,"Spring Water","1071",TRUE,"2",902,0,15,,10,100,,0,15,,15,0,100,10,,,15
"09_33_1072",9,"2019-01-10",33,"Spring Water","1072",TRUE,"2",902,16,142,,10,100,,16,142,,142,16,100,10,,,151
"09_33_1073",9,"2019-01-10",33,"Spring Water","1073",TRUE,"2",902,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,,,500
"09_33_1074",9,"2019-01-10",33,"Spring Water","1074",TRUE,"2",902,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1075",9,"2019-01-10",33,"Spring Water","1075",TRUE,"2",902,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1076",9,"2019-01-10",33,"Spring Water","1076",TRUE,"2",902,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,,,500
"09_33_1077",9,"2019-01-10",33,"Spring Water","1077",TRUE,"2",902,54,999,3,10,100,0.1,54,999,3,999,54,100,10,3,0.1,540
"09_33_1078",9,"2019-01-10",33,"Spring Water","1078",TRUE,"2",902,2,26,,10,100,,2,26,,26,2,100,10,,,26
"09_33_1079",9,"2019-01-10",33,"Spring Water","1079",TRUE,"2",902,18,30,,10,100,,18,30,,30,18,100,10,,,105
"09_33_1080",9,"2019-01-10",33,"Spring Water","1080",TRUE,"2",902,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1091",9,"2019-01-14",33,"Spring Water","1091",TRUE,"4",904,0,39,,10,100,,0,39,,39,0,100,10,,,39
"09_33_1092",9,"2019-01-14",33,"Spring Water","1092",TRUE,"4",904,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1093",9,"2019-01-14",33,"Spring Water","1093",TRUE,"4",904,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1094",9,"2019-01-14",33,"Spring Water","1094",TRUE,"4",904,0,0,,10,1,,0,0,,0,0,10,1,,,5
"09_33_1095",9,"2019-01-14",33,"Spring Water","1095",TRUE,"4",904,120,999,,10,100,,120,999,,999,120,100,10,,,1200
"09_33_1096",9,"2019-01-14",33,"Spring Water","1096",TRUE,"4",904,0,1,,10,1,,0,1,,0,1,10,1,,,
"09_33_1097",9,"2019-01-14",33,"Spring Water","1097",TRUE,"4",904,62,999,,10,100,,62,999,,999,62,100,10,,,620
"09_33_1098",9,"2019-01-14",33,"Spring Water","1098",TRUE,"4",904,41,0,,10,1,,41,0,,41,0,10,1,,,410
"09_33_1099",9,"2019-01-14",33,"Spring Water","1099",TRUE,"4",904,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_33_1100",9,"2019-01-14",33,"Spring Water","1100",TRUE,"4",904,0,0,,10,100,,0,0,,0,0,100,10,,,0.5
"09_05_1101",9,"2018-11-17",5,"","1101",TRUE,"3",903,999,54,,10,1,,999,54,,999,54,10,1,,,5400
"09_05_1102",9,"2018-11-17",5,"","1102",TRUE,"3",903,20,6,,10,1,,20,6,,20,6,10,1,,,200
"09_05_1109",9,"2018-11-17",5,"","1109",TRUE,"3",903,167,50,,10,1,,167,50,,167,50,10,1,,,3335
"09_05_1110",9,"2018-11-17",5,"","1110",TRUE,"3",903,59,999,,1,10,,59,999,,999,59,10,1,,,5900
"09_05_1111",9,"2019-01-23",5,"","1111",TRUE,"1",901,5,4,,1,0.1,,5,4,,5,4,1,0.1,,,2250
"09_05_1112",9,"2019-01-23",5,"","1112",TRUE,"1",901,998,88,,10,0.1,,998,88,,998,88,10,0.1,,,88000
"09_05_1113",9,"2019-01-23",5,"","1113",TRUE,"1",901,0,43,,10,0.1,,0,43,,0,43,10,0.1,,,
"09_05_1114",9,"2019-01-23",5,"","1114",TRUE,"1",901,7,0,,1,0.1,,7,0,,7,0,1,0.1,,,700
"09_05_1115",9,"2019-01-23",5,"","1115",TRUE,"1",901,7,0,,1,0.1,,7,0,,7,0,1,0.1,,,700
"09_05_1116",9,"2019-01-23",5,"","1116",TRUE,"1",901,16,0,0,1,10,0.1,16,0,0,0,16,10,1,0,0.1,
"09_05_1117",9,"2019-01-23",5,"","1117",TRUE,"1",901,26,0,2,1,10,0.1,26,0,2,0,26,10,1,2,0.1,
"09_05_1118",9,"2019-01-23",5,"","1118",TRUE,"1",901,112,0,,1,0.1,,112,0,,112,0,1,0.1,,,11200
"09_06_1251",9,"2018-12-04",6,"","1251",TRUE,"3",903,999,120,2,1,0.1,0.01,999,120,2,999,120,1,0.1,2,0.01,120000
"09_06_1252",9,"2018-12-04",6,"","1252",TRUE,"3",903,999,999,143,1,0.1,0.01,999,999,143,999,999,1,0.1,143,0.01,1430000
"09_06_1253",9,"2018-12-04",6,"","1253",TRUE,"3",903,999,50,33,1,0.1,0.01,999,50,33,999,50,1,0.1,33,0.01,190000
"09_06_1254",9,"2018-12-04",6,"","1254",TRUE,"3",903,999,999,196,1,0.1,0.01,999,999,196,999,999,1,0.1,196,0.01,1960000
"09_06_1255",9,"2018-12-04",6,"","1255",TRUE,"3",903,999,41,94,1,0.1,0.01,999,41,94,999,41,1,0.1,94,0.01,490500
"09_06_1256",9,"2018-12-04",6,"","1256",TRUE,"3",903,999,999,48,1,0.1,0.01,999,999,48,999,999,1,0.1,48,0.01,480000
"09_06_1257",9,"2018-12-04",6,"","1257",TRUE,"3",903,999,24,3,1,0.1,0.001,999,24,3,999,24,1,0.1,3,0.001,24000
"09_06_1258",9,"2018-12-04",6,"","1258",TRUE,"3",903,999,999,197,1,0.1,0.01,999,999,197,999,999,1,0.1,197,0.01,1970000
"09_06_1259",9,"2018-12-04",6,"","1259",TRUE,"3",903,999,5,,1,0.001,,999,5,,999,5,1,0.001,,,5e+05
"09_06_1260",9,"2018-12-04",6,"","1260",TRUE,"3",903,999,14,8,1,0.01,0.001,999,14,8,999,14,1,0.01,8,0.001,140000
"09_06_1261",9,"2018-12-11",6,"","1261",TRUE,"2",902,999,82,5,1,0.01,0.001,999,82,5,999,82,1,0.01,5,0.001,820000
"09_06_1262",9,"2018-12-11",6,"","1262",TRUE,"2",902,999,18,9,1,0.001,1e-04,999,18,9,999,18,1,0.001,9,1e-04,1800000
"09_06_1263",9,"2018-12-11",6,"","1263",TRUE,"2",902,999,12,2,1,0.01,0.001,999,12,2,999,12,1,0.01,2,0.001,120000
"09_06_1264",9,"2018-12-11",6,"","1264",TRUE,"2",902,999,193,22,1,0.01,0.001,999,193,22,999,193,1,0.01,22,0.001,2065000
"09_06_1265",9,"2018-12-11",6,"","1265",TRUE,"2",902,999,14,3,1,0.01,0.001,999,14,3,999,14,1,0.01,3,0.001,140000
"09_06_1266",9,"2018-12-11",6,"","1266",TRUE,"2",902,999,10,,1,0.01,,999,10,,999,10,1,0.01,,,1e+05
"09_06_1267",9,"2018-12-11",6,"","1267",TRUE,"2",902,999,111,18,1,0.001,1e-04,999,111,18,999,111,1,0.001,18,1e-04,14550000
"09_06_1268",9,"2018-12-11",6,"","1268",TRUE,"2",902,999,31,2,0.01,0.001,1e-04,999,31,2,999,31,0.01,0.001,2,1e-04,3100000
"09_06_1269",9,"2018-12-11",6,"","1269",TRUE,"2",902,73,6,2,0.01,0.001,1e-04,73,6,2,73,6,0.01,0.001,2,1e-04,730000
"09_06_1270",9,"2018-12-11",6,"","1270",TRUE,"2",902,999,6,2,1,0.001,1e-04,999,6,2,999,6,1,0.001,2,1e-04,2e+06
"09_06_1271",9,"2018-12-05",6,"","1271",TRUE,"4",904,0,0,45,1,0.1,0.01,0,0,45,0,0,1,0.1,45,0.01,
"09_06_1272",9,"2018-12-05",6,"","1272",TRUE,"4",904,0,23,0,1,0.1,0.01,0,23,0,0,23,1,0.1,0,0.01,
"09_06_1273",9,"2019-02-13",6,"","1273",TRUE,"4",904,0,0,0,0.01,0.001,1e-04,0,0,0,0,0,0.01,0.001,0,1e-04,5000
"09_06_1274",9,"2018-12-05",6,"","1274",TRUE,"4",904,113,999,,1,0.1,,113,999,,113,999,1,0.1,,,
"09_06_1275",9,"2018-12-05",6,"","1275",TRUE,"4",904,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,50
"09_06_1276",9,"2018-12-12",6,"","1276",TRUE,"4",904,999,999,17,1,0.1,0.001,999,999,17,999,999,1,0.1,17,0.001,1700000
"09_06_1277",9,"2018-12-05",6,"","1277",TRUE,"4",904,999,999,47,1,0.1,0.01,999,999,47,999,999,1,0.1,47,0.01,470000
"09_06_1278",9,"2018-12-12",6,"","1278",TRUE,"4",904,999,999,90,1,0.1,0.001,999,999,90,999,999,1,0.1,90,0.001,9e+06
"09_06_1279",9,"2018-12-12",6,"","1279",TRUE,"4",904,999,999,105,1,0.01,0.001,999,999,105,999,999,1,0.01,105,0.001,10500000
"09_06_1280",9,"2018-12-12",6,"","1280",TRUE,"4",904,60,15,3,0.1,0.01,0.001,60,15,3,60,15,0.1,0.01,3,0.001,105000
"09_06_1281",9,"2018-12-13",6,"","1281",TRUE,"5",905,999,999,62,1,0.1,0.01,999,999,62,999,999,1,0.1,62,0.01,620000
"09_06_1282",9,"2018-12-13",6,"","1282",TRUE,"5",905,999,28,6,1,0.01,0.001,999,28,6,999,28,1,0.01,6,0.001,280000
"09_06_1283",9,"2018-12-13",6,"","1283",TRUE,"5",905,53,12,3,0.01,0.001,1e-04,53,12,3,53,12,0.01,0.001,3,1e-04,865000
"09_06_1284",9,"2018-12-13",6,"","1284",TRUE,"5",905,999,23,3,1,0.01,0.001,999,23,3,999,23,1,0.01,3,0.001,230000
"09_06_1285",9,"2018-12-13",6,"","1285",TRUE,"5",905,999,8,0,1,0.01,0.001,999,8,0,999,8,1,0.01,0,0.001,80000
"09_06_1286",9,"2018-12-13",6,"","1286",TRUE,"5",905,999,108,,1,0.01,,999,108,,999,108,1,0.01,,,1080000
"09_06_1287",9,"2018-12-13",6,"","1287",TRUE,"5",905,999,188,,0.1,0.01,,999,188,,999,188,0.1,0.01,,,1880000
"09_06_1288",9,"2018-12-13",6,"","1288",TRUE,"5",905,31,20,4,1,0.1,0.001,31,20,4,31,20,1,0.1,4,0.001,
"09_06_1289",9,"2018-12-13",6,"","1289",TRUE,"5",905,999,10,2,1,0.01,0.001,999,10,2,999,10,1,0.01,2,0.001,1e+05
"09_06_1290",9,"2018-12-13",6,"","1290",TRUE,"5",905,999,5,,1,0.01,,999,5,,999,5,1,0.01,,,50000
"09_06_1291",9,"2018-12-14",6,"","1291",TRUE,"1",901,999,999,15,1,0.1,0.01,999,999,15,999,999,1,0.1,15,0.01,150000
"09_06_1292",9,"2018-12-14",6,"","1292",TRUE,"1",901,999,999,83,1,0.1,0.01,999,999,83,999,999,1,0.1,83,0.01,830000
"09_06_1293",9,"2018-12-14",6,"","1293",TRUE,"1",901,999,999,2,1,0.1,0.01,999,999,2,999,999,1,0.1,2,0.01,20000
"09_06_1294",9,"2018-12-14",6,"","1294",TRUE,"1",901,107,0,,1,0.1,,107,0,,107,0,1,0.1,,,10700
"09_06_1295",9,"2018-12-14",6,"","1295",TRUE,"1",901,999,999,166,1,0.1,0.01,999,999,166,999,999,1,0.1,166,0.01,1660000
"09_06_1296",9,"2018-12-14",6,"","1296",TRUE,"1",901,999,3,0,1,0.1,0.01,999,3,0,999,3,1,0.1,0,0.01,3000
"09_06_1297",9,"2018-12-14",6,"","1297",TRUE,"1",901,999,999,4,1,0.1,0.01,999,999,4,999,999,1,0.1,4,0.01,40000
"09_06_1298",9,"2018-12-14",6,"","1298",TRUE,"1",901,999,99,10,1,0.1,0.01,999,99,10,999,99,1,0.1,10,0.01,99500
"09_06_1299",9,"2018-12-14",6,"","1299",TRUE,"1",901,999,999,39,1,0.1,0.01,999,999,39,999,999,1,0.1,39,0.01,390000
"09_06_1300",9,"2018-12-14",6,"","1300",TRUE,"1",901,999,196,23,1,0.1,0.01,999,196,23,999,196,1,0.1,23,0.01,213000
"09_07_1401",9,"2019-01-18",7,"","1401",TRUE,"2",902,135,11,1,1,0.1,0.01,135,11,1,135,11,1,0.1,1,0.01,1715
"09_07_1402",9,"2019-01-18",7,"","1402",TRUE,"2",902,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,7
"09_07_1403",9,"2019-01-18",7,"","1403",TRUE,"2",902,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,7
"09_07_1404",9,"2019-01-18",7,"","1404",TRUE,"2",902,6,0,,1,0.1,,6,0,,6,0,1,0.1,,,84
"09_07_1405",9,"2019-01-18",7,"","1405",TRUE,"2",902,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,7
"09_07_1406",9,"2019-01-18",7,"","1406",TRUE,"2",902,0,6,,1,0.1,,0,6,,0,6,1,0.1,,,
"09_07_1407",9,"2019-01-18",7,"","1407",TRUE,"2",902,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,7
"09_07_1408",9,"2019-01-18",7,"","1408",TRUE,"2",902,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,7
"09_07_1409",9,"2019-01-18",7,"","1409",TRUE,"2",902,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1410",9,"2019-01-18",7,"","1410",TRUE,"2",902,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1411",9,"2019-01-17",7,"","1411",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1412",9,"2019-01-17",7,"","1412",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1413",9,"2019-01-17",7,"","1413",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1414",9,"2019-01-17",7,"","1414",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1415",9,"2019-01-17",7,"","1415",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1416",9,"2019-01-17",7,"","1416",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1417",9,"2019-01-17",7,"","1417",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1418",9,"2019-01-17",7,"","1418",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1419",9,"2019-01-17",7,"","1419",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1420",9,"2019-01-17",7,"","1420",TRUE,"4",904,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1421",9,"2019-01-18",7,"","1421",TRUE,"3",903,100,1,,1,0.01,,100,1,,100,1,1,0.01,,,1400
"09_07_1422",9,"2019-01-18",7,"","1422",TRUE,"3",903,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,7
"09_07_1423",9,"2019-01-18",7,"","1423",TRUE,"3",903,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,7
"09_07_1424",9,"2019-01-18",7,"","1424",TRUE,"3",903,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,7
"09_07_1425",9,"2019-01-18",7,"","1425",TRUE,"3",903,3,1,,1,0.1,,3,1,,3,1,1,0.1,,,91
"09_07_1426",9,"2019-01-18",7,"","1426",TRUE,"3",903,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,7
"09_07_1427",9,"2019-01-18",7,"","1427",TRUE,"3",903,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,7
"09_07_1428",9,"2019-01-18",7,"","1428",TRUE,"3",903,998,8,,10,0.1,,998,8,,998,8,10,0.1,,,1120
"09_07_1429",9,"2019-01-18",7,"","1429",TRUE,"3",903,998,4,,10,0.1,,998,4,,998,4,10,0.1,,,560
"09_07_1430",9,"2019-01-18",7,"","1430",TRUE,"3",903,998,6,,10,0.1,,998,6,,998,6,10,0.1,,,840
"09_07_1431",9,"2019-01-18",7,"","1431",TRUE,"1",901,0,2,,10,0.1,,0,2,,0,2,10,0.1,,,
"09_07_1432",9,"2019-01-18",7,"","1432",TRUE,"1",901,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1433",9,"2019-01-18",7,"","1433",TRUE,"1",901,0,21,,10,0.1,,0,21,,0,21,10,0.1,,,
"09_07_1434",9,"2019-01-18",7,"","1434",TRUE,"1",901,3,0,,1,0.1,,3,0,,3,0,1,0.1,,,42
"09_07_1435",9,"2019-01-18",7,"","1435",TRUE,"1",901,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1436",9,"2019-01-18",7,"","1436",TRUE,"1",901,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1437",9,"2019-01-18",7,"","1437",TRUE,"1",901,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1438",9,"2019-01-18",7,"","1438",TRUE,"1",901,48,0,,10,0.1,,48,0,,48,0,10,0.1,,,67.2
"09_07_1439",9,"2019-01-18",7,"","1439",TRUE,"1",901,3,0,,10,0.1,,3,0,,3,0,10,0.1,,,4.2
"09_07_1440",9,"2019-01-18",7,"","1440",TRUE,"1",901,0,6,,10,0.1,,0,6,,0,6,10,0.1,,,
"09_07_1441",9,"2019-01-21",7,"","1441",TRUE,"5",905,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1442",9,"2019-01-21",7,"","1442",TRUE,"5",905,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1443",9,"2019-01-21",7,"","1443",TRUE,"5",905,4,0,,10,0.1,,4,0,,4,0,10,0.1,,,5.6
"09_07_1444",9,"2019-01-21",7,"","1444",TRUE,"5",905,14,0,,10,0.1,,14,0,,14,0,10,0.1,,,19.6
"09_07_1445",9,"2019-01-21",7,"","1445",TRUE,"5",905,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1446",9,"2019-01-21",7,"","1446",TRUE,"5",905,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1447",9,"2019-01-21",7,"","1447",TRUE,"5",905,0,0,,10,0.1,,0,0,,0,0,10,0.1,,,0.7
"09_07_1448",9,"2019-01-21",7,"","1448",TRUE,"5",905,998,24,,10,0.1,,998,24,,998,24,10,0.1,,,3360
"09_07_1449",9,"2019-01-21",7,"","1449",TRUE,"5",905,118,3,,10,0.1,,118,3,,118,3,10,0.1,,,165.2
"09_07_1450",9,"2019-01-21",7,"","1450",TRUE,"5",905,14,0,,10,0.1,,14,0,,14,0,10,0.1,,,19.6
"09_08_2001",9,"2018-12-20",8,"","2001",TRUE,"3",903,16,998,,0.1,0.01,,16,998,,16,998,0.1,0.01,,,
"09_08_2002",9,"2018-12-20",8,"","2002",TRUE,"3",903,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,,,10
"09_08_2003",9,"2018-12-20",8,"","2003",TRUE,"3",903,53,6,,0.1,0.01,,53,6,,53,6,0.1,0.01,,,1060
"09_08_2004",9,"2018-12-20",8,"","2004",TRUE,"3",903,7,15,,0.1,0.01,,7,15,,7,15,0.1,0.01,,,
"09_08_2005",9,"2018-12-20",8,"","2005",TRUE,"3",903,0,0,,0.1,0.01,,0,0,,0,0,0.1,0.01,,,10
"09_08_2006",9,"2018-12-20",8,"","2006",TRUE,"3",903,999,0,,0.1,0.01,,999,0,,999,0,0.1,0.01,,,
"09_08_2007",9,"2018-12-20",8,"","2007",TRUE,"3",903,3,2,,0.1,0.01,,3,2,,3,2,0.1,0.01,,,230
"09_08_2008",9,"2018-12-20",8,"","2008",TRUE,"3",903,5,999,,0.1,0.01,,5,999,,5,999,0.1,0.01,,,
"09_08_2009",9,"2019-02-14",8,"","2009",TRUE,"3",903,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2010",9,"2019-02-14",8,"","2010",TRUE,"3",903,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2011",9,"2019-01-04",8,"","2011",TRUE,"5",905,10,5,,0.1,0.01,,10,5,,10,5,0.1,0.01,,,200
"09_08_2012",9,"2019-01-29",8,"","2012",TRUE,"5",905,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2013",9,"2019-01-29",8,"","2013",TRUE,"5",905,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2014",9,"2019-01-04",8,"","2014",TRUE,"5",905,3,1,0,1,0.1,0.01,3,1,0,3,1,1,0.1,0,0.01,13
"09_08_2015",9,"2019-01-29",8,"","2015",TRUE,"5",905,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2016",9,"2019-01-04",8,"","2016",TRUE,"5",905,999,32,0,1,0.1,0.01,999,32,0,999,32,1,0.1,0,0.01,640
"09_08_2017",9,"2019-01-04",8,"","2017",TRUE,"5",905,999,0,0,1,0.1,0.01,999,0,0,999,0,1,0.1,0,0.01,
"09_08_2018",9,"2019-01-04",8,"","2018",TRUE,"5",905,999,0,0,1,0.1,0.01,999,0,0,999,0,1,0.1,0,0.01,
"09_08_2019",9,"2019-01-04",8,"","2019",TRUE,"5",905,34,0,0,1,0.1,0.01,34,0,0,34,0,1,0.1,0,0.01,68
"09_08_2020",9,"2019-01-04",8,"","2020",TRUE,"5",905,16,3,0,1,0.1,0.01,16,3,0,16,3,1,0.1,0,0.01,32
"09_08_2021",9,"2019-01-15",8,"","2021",TRUE,"2",902,12,3,0,1,0.1,0.01,12,3,0,12,3,1,0.1,0,0.01,24
"09_08_2022",9,"2019-01-15",8,"","2022",TRUE,"2",902,54,7,,0.1,0.01,,54,7,,54,7,0.1,0.01,,,1080
"09_08_2023",9,"2019-01-15",8,"","2023",TRUE,"2",902,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2024",9,"2019-01-15",8,"","2024",TRUE,"2",902,30,3,0,1,0.1,0.01,30,3,0,30,3,1,0.1,0,0.01,60
"09_08_2025",9,"2019-01-15",8,"","2025",TRUE,"2",902,3,0,0,1,0.1,0.01,3,0,0,3,0,1,0.1,0,0.01,6
"09_08_2026",9,"2019-01-15",8,"","2026",TRUE,"2",902,9,2,0,1,0.1,0.01,9,2,0,9,2,1,0.1,0,0.01,29
"09_08_2027",9,"2019-01-15",8,"","2027",TRUE,"2",902,12,19,4,1,0.1,0.01,12,19,4,12,19,1,0.1,4,0.01,202
"09_08_2028",9,"2019-01-15",8,"","2028",TRUE,"2",902,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2029",9,"2019-01-15",8,"","2029",TRUE,"2",902,998,998,0,1,0.1,0.01,998,998,0,998,998,1,0.1,0,0.01,
"09_08_2030",9,"2019-01-15",8,"","2030",TRUE,"2",902,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2031",9,"2019-01-18",8,"","2031",TRUE,"4",904,65,7,,0.1,0.01,,65,7,,65,7,0.1,0.01,,,1300
"09_08_2032",9,"2019-01-18",8,"","2032",TRUE,"4",904,18,2,57,1,0.1,0.01,18,2,57,18,2,1,0.1,57,0.01,
"09_08_2033",9,"2019-01-18",8,"","2033",TRUE,"4",904,42,18,998,1,0.1,0.01,42,18,998,42,18,1,0.1,998,0.01,
"09_08_2034",9,"2019-01-18",8,"","2034",TRUE,"4",904,52,61,7,1,0.1,0.01,52,61,7,52,61,1,0.1,7,0.01,662
"09_08_2035",9,"2019-01-18",8,"","2035",TRUE,"4",904,0,0,1,1,0.1,0.01,0,0,1,0,0,1,0.1,1,0.01,
"09_08_2036",9,"2019-01-18",8,"","2036",TRUE,"4",904,998,0,0,1,0.1,0.01,998,0,0,998,0,1,0.1,0,0.01,
"09_08_2037",9,"2019-01-18",8,"","2037",TRUE,"4",904,998,998,0,1,0.1,0.01,998,998,0,998,998,1,0.1,0,0.01,
"09_08_2038",9,"2019-01-18",8,"","2038",TRUE,"4",904,0,6,36,1,0.1,0.01,0,6,36,0,6,1,0.1,36,0.01,
"09_08_2039",9,"2019-01-18",8,"","2039",TRUE,"4",904,0,2,1,1,0.1,0.01,0,2,1,0,2,1,0.1,1,0.01,
"09_08_2040",9,"2019-01-18",8,"","2040",TRUE,"4",904,998,45,999,1,0.1,0.01,998,45,999,998,45,1,0.1,999,0.01,
"09_08_2041",9,"2019-01-18",8,"","2041",TRUE,"1",901,5,0,0,1,0.1,0.01,5,0,0,5,0,1,0.1,0,0.01,10
"09_08_2042",9,"2019-01-18",8,"","2042",TRUE,"1",901,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2043",9,"2019-01-18",8,"","2043",TRUE,"1",901,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2044",9,"2019-01-18",8,"","2044",TRUE,"1",901,19,0,0,1,0.1,0.01,19,0,0,19,0,1,0.1,0,0.01,38
"09_08_2045",9,"2019-01-18",8,"","2045",TRUE,"1",901,5,998,3,1,0.1,0.01,5,998,3,5,998,1,0.1,3,0.01,
"09_08_2046",9,"2019-01-18",8,"","2046",TRUE,"1",901,0,998,6,1,0.1,0.01,0,998,6,0,998,1,0.1,6,0.01,
"09_08_2047",9,"2019-01-18",8,"","2047",TRUE,"1",901,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2048",9,"2019-01-18",8,"","2048",TRUE,"1",901,32,1,0,1,0.1,0.01,32,1,0,32,1,1,0.1,0,0.01,64
"09_08_2049",9,"2019-01-18",8,"","2049",TRUE,"1",901,0,0,0,1,0.1,0.01,0,0,0,0,0,1,0.1,0,0.01,1
"09_08_2050",9,"2019-01-18",8,"","2050",TRUE,"1",901,88,0,0,1,0.1,0.01,88,0,0,88,0,1,0.1,0,0.01,176
