sample_type_name,sample_id,neighb_id,neighborhood,age,pop,p,r,n.response,mu,sigma,n.sample,exposure,dose,popDose,deployment_id,country,city,citylabel,date,pathway,neighb_pop,neighb_pop_label,perDose
Public Latrine,7,208,Hazaribagh,Adults,a,0.009114764,0.367518636,232,0.64526363,1.163822855,10,0.837,1982.154285,1982.154285,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 208 Adults,Dhaka 208,0.000374358
Public Latrine,7,208,Hazaribagh,Children,c,0.031655228,0.557562472,218,0.64526363,1.163822855,10,0.844,475.2704509,475.2704509,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Public Latrine,Dhaka 208 Children,Dhaka 208,6.57E-05
Raw Produce,2,208,Hazaribagh,Adults,a,0.118332878,0.894283083,233,2.739585381,1.282335947,9,0.84,535795.8978,535795.8978,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 208 Adults,Dhaka 208,0.101192561
Raw Produce,2,208,Hazaribagh,Children,c,0.117396654,0.695754076,219,2.739585381,1.282335947,9,0.778,1387914.368,1387914.368,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Raw Produce,Dhaka 208 Children,Dhaka 208,0.191824963
Surface Water,5,208,Hazaribagh,Adults,a,0.015223358,0.19406046,215,6.383743583,1.14E-05,10,0.557,1126136.469,1126136.469,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 208 Adults,Dhaka 208,0.212686647
Surface Water,5,208,Hazaribagh,Children,c,0.013444407,0.160940418,199,6.383743583,1.14E-05,10,0.508,6211104.28,6211104.28,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Surface Water,Dhaka 208 Children,Dhaka 208,0.858442622
Street Food,10,208,Hazaribagh,Adults,a,0.07277591,0.358277466,233,4.352327008,1.085394693,8,0.577,8140061.213,8140061.213,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 208 Adults,Dhaka 208,1.537364589
Street Food,10,208,Hazaribagh,Children,c,0.076845047,0.74408983,218,4.352327008,1.085394693,8,0.855,6955322.614,6955322.614,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Street Food,Dhaka 208 Children,Dhaka 208,0.961301745
Bathing Water,9,209,Motijhil,Adults,a,0.344418004,5.550520099,108,1.705409869,1.143542426,10,0.998,6481.327601,6481.327601,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 209 Adults,Dhaka 209,2.43E-05
Bathing Water,9,209,Motijhil,Children,c,0.86666854,147.7475109,101,1.705409869,1.143542426,10,1,17003.41419,17003.41419,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Bathing Water,Dhaka 209 Children,Dhaka 209,0.000653953
Open Drain Water,1,209,Motijhil,Adults,a,0.020590395,0.357418686,108,6.678404124,1.177689834,10,0.756,2777801.241,2777801.241,2,Bangladesh,Dhaka,Dhaka 17,3/1/2017,Open Drain Water,Dhaka 209 Adults,Dhaka 209,0.010408753
