SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_ecnt1,ec_ecnt2,tc_ecnt1,tc_ecnt2,ec_blank,tc_blank,collectr,operator,sp_type,sp_area,ec_dil3,ec_ecnt3,tc_ecnt3,dis_com,weight,feces_3m,fd_type,fd_num,lat_type,lat_other,n_stall,Vis_fec,HW_stat
SCB2038,2038,5/18/2016,1/0/1900,25.93495,32.56274,83-29,1,3,,,,,,5/18/2016,12:10:00 PM,5/18/2016,5:49:00 PM,5/19/2016,5:49:00 PM,2,4,998,999,998,999,0,0,Sumeya/Anabela,Salma/J,4,0,6,999,999,,27.63,,,,,,,,
SCB2039,2039,5/31/2016,1/0/1900,25.94912,32.55864,100-29,1,3,,,,,,5/31/2016,2:15:00 PM,5/31/2016,6:50:00 PM,6/1/2016,6:50:00 PM,2,4,74,7,999,999,0,0,Eloisa/Gizela,Mario Amos/ J,4,0,6,0,63,,50.73,,,,,,,,
SCB2040,2040,5/24/2016,1/0/1900,25.94865,32.55929,95-29,1,3,,,,,,5/24/2016,11:15:00 AM,5/24/2016,3:35:00 PM,5/25/2016,3:35:00 PM,2,4,998,998,998,998,0,0,Sumeya/Anabela,Laurinda / Mario Amos,4,0,6,999,999,,30.08,,,,,,,,
SCB2041,2041,5/24/2016,1/0/1900,25.93351,32.56263,075-43,1,3,solo humido,,,,,5/24/2016,11:15:00 AM,5/24/2016,3:35:00 PM,5/25/2016,3:35:00 PM,2,4,998,998,998,998,0,0,Gizela/Eloisa,Laurinda / Mario,4,0,6,0,999,,25.56,,,,,,,,
SCB2042,2042,5/12/2016,1/0/1900,25.94208,32.58847,055-43,1,3,,,,,,5/12/2016,12:10:00 PM,5/12/2016,4:45:00 PM,5/13/2016,4:45:00 PM,2,4,999,130,998,999,0,0,Gizela/Eloisa,Laurinda/J,4,0,6,6,999,,38.27,,,,,,,,
SCB2043,2043,5/13/2016,1/0/1900,25.94532,32.55682,058-43,1,3,,,,,,5/13/2016,11:05:00 AM,5/13/2016,3:30:00 PM,5/14/2016,3:30:00 PM,2,4,998,15,998,999,0,0,Gizela/Eloisa,Salma/J,4,0,6,0,80,,40.25,,,,,,,,
SCB2044,2044,5/23/2016,1/0/1900,25.94214,32.55713,090-29,1,3,,,,,,5/23/2016,11:40:00 AM,5/23/2016,3:50:00 PM,5/24/2016,3:50:00 PM,2,4,999,7,999,999,0,0,Gizela/Eloisa,J/Mario Amos,4,0,6,0,999,,41.15,,,,,,,,
SPA2029,2029,5/19/2016,1/0/1900,25.94407,32.56064,073-43,1,,,,,,,5/19/2016,11:25:00 AM,5/19/2016,5:15:00 PM,5/20/2016,5:15:00 PM,2,4,998,999,998,999,0,0,Eloisa/Gizela,Mario Amos/J,4,1,6,6,185,1,,0,,,,,,,
SPA2030,2030,5/6/2016,1/0/1900,25.94729,32.55228,044-43,1,,,,,,,5/6/2016,12:40:00 PM,5/6/2016,5:05:00 PM,5/7/2016,5:05:00 PM,2,4,998,23,998,999,0,0,Gizela/Eloisa,J/Mario Amos,4,1,6,14,9,1,,0,,,,,,,
SPA2031,2031,5/6/2016,1/0/1900,25.94626,32.55231,57-29,1,,,,,,,5/6/2016,12:40:00 PM,5/6/2016,5:05:00 PM,5/7/2016,5:05:00 PM,2,4,998,999,998,999,0,0,Sumeya/Anabela,J/Mario Amos,4,1,6,999,999,1,,0,,,,,,,
