HouseholdID,CompoundID,MapSanHHID,hh_dd,hh_th,neighbor,hh_lat,hh_long,hh_q1,hh_q2,hh_q3,hh_q4,hh_q5,hh_q6,hh_q7,hh_q8,hh_q9,hh_q10a,hh_q10b,hh_q10c,hh_q10d,hh_q10e,hh_q11,hh_q12,hh_q13,hh_q14,hh_q15,collectr
84,3033,03,5/4/2016,10:26:00 AM,2,25.94157,32.58826,0,4,,3,,1,2,,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,,1,,0,Eloisa Mula
85,3033,04,5/4/2016,10:19:00 AM,2,25.94158,32.58819,1,4,4,3,3,1,3,5,5,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
86,3039,01,5/3/2016,10:02:00 AM,2,25.94148,32.58819,0,4,,2,,1,1,,2,FALSE,TRUE,FALSE,FALSE,FALSE,1,,3,,0,Sumeya Branco
87,2032,07,5/22/2016,4:45:00 PM,1,25.94346,32.55752,1,4,4,1,1,,2,,9,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
88,2040,05,5/24/2016,9:39:00 AM,1,25.94865,32.55929,1,4,4,2,2,,1,,4,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Anabela Mondlane
89,3006,06,5/10/2016,10:00:00 AM,2,25.96213,32.58968,1,3,4,1,1,1,2,5,7,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,3,3,1,Eloisa Mula
90,2036,04,5/29/2016,1:42:00 PM,1,25.93679,32.56397,0,4,,2,,,2,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Gizela Dalida
91,2036,06,5/29/2016,1:56:00 PM,1,25.93679,32.56397,1,4,4,2,2,,2,2,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dailida
92,3030,05,5/27/2016,9:15:00 AM,2,25.94158,32.58819,0,4,,3,,1,2,,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Gizela Dalida
93,3033,06,5/27/2016,9:30:00 AM,2,25.94158,32.58819,1,4,4,2,2,1,2,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,3,3,0,Gizela Dailida
94,3037,50,5/25/2016,5:19:00 PM,2,25.945,32.57927,0,1,,1,,1,2,,8,TRUE,FALSE,FALSE,FALSE,FALSE,1,,4,,0,Anabela Mondlane
95,3001,15,5/26/2016,2:45:00 PM,2,25.94451,32.57955,1,3,5,1,1,1,3,1,18,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
96,3034,51,5/25/2016,5:06:00 PM,2,25.94716,32.55196,0,1,,1,,1,2,,5,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
97,3006,03,5/26/2016,3:18:00 PM,2,25.96213,32.58968,1,4,4,2,2,1,2,2,7,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3,3,0,Eloisa Mula
98,3031,50,5/29/2016,5:08:00 PM,2,25.94345,32.57972,0,1,,1,,1,3,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,,3,,0,Anabela Mondlane
99,2039,06,5/29/2016,9:50:00 AM,1,25.94913,32.55861,1,4,4,1,1,,3,,6,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,3,3,0,Gizela Dalila
