lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-10-24T12:08:30.623Z,9,8001,8001,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:29:15.112Z,2018-10-24T12:08:30.623Z,2018-10-25T12:29:15.112Z,uuid:1653eed7-5709-4f10-9fab-feeef5c64e33,1653eed7-5709-4f10-9fab-feeef5c64e33,2018-10-25T15:41:52,,
2018-10-25T11:49:43.857Z,1,4005,4005,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,4,1,3,53,3,1,3,7,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:28:59.994Z,2018-10-25T11:49:43.857Z,2018-10-25T12:28:59.994Z,uuid:43043848-fa76-4648-8aad-9d6853718178,43043848-fa76-4648-8aad-9d6853718178,2018-10-25T15:41:53,,
2018-10-25T11:55:45.283Z,1,4003,4003,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,4,1,1,n/a,3,1,3,50,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:28:37.292Z,2018-10-25T11:55:45.283Z,2018-10-25T12:28:37.292Z,uuid:a19680a9-2598-4ae4-b729-ba49acb1c2a2,a19680a9-2598-4ae4-b729-ba49acb1c2a2,2018-10-25T15:41:55,,
2018-10-25T12:00:56.288Z,1,4004,4004,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,4,1,3,116,3,1,3,11,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:28:18.408Z,2018-10-25T12:00:56.288Z,2018-10-25T12:28:18.408Z,uuid:be7d5b7b-5a7b-4b4f-a022-7d711bcf756d,be7d5b7b-5a7b-4b4f-a022-7d711bcf756d,2018-10-25T15:41:57,,
2018-10-25T12:20:31.470Z,1,4001,4001,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,4,1,1,n/a,3,1,3,20,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:27:49.805Z,2018-10-25T12:20:31.470Z,2018-10-25T12:27:49.805Z,uuid:92e5564a-53b5-4a36-ac02-8693be3d8e13,92e5564a-53b5-4a36-ac02-8693be3d8e13,2018-10-25T15:41:59,,
2018-10-25T12:21:59.109Z,1,4002,4002,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,4,1,3,145,3,1,3,10,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:27:25.827Z,2018-10-25T12:21:59.109Z,2018-10-25T12:27:25.827Z,uuid:54cfdde1-4ee5-4f0e-9eb0-b2e25100768b,54cfdde1-4ee5-4f0e-9eb0-b2e25100768b,2018-10-25T15:42:01,,
2018-10-25T12:23:08.649Z,9,8004,8004,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:29:22.171Z,2018-10-25T12:23:08.649Z,2018-10-25T12:29:22.171Z,uuid:4eb5d901-2647-498b-a866-8962b062733a,4eb5d901-2647-498b-a866-8962b062733a,2018-10-25T15:42:04,,
2018-10-25T12:30:01.257Z,9,8005,8005,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,7,100,3,9,7,10,3,3,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:31:14.143Z,2018-10-25T12:30:01.257Z,2018-10-25T12:31:14.143Z,uuid:f4f9bffd-973c-4fd9-af6d-b11cdb361437,f4f9bffd-973c-4fd9-af6d-b11cdb361437,2018-10-25T15:42:05,,
2018-10-25T12:31:20.845Z,9,8002,8002,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:32:54.728Z,2018-10-25T12:31:20.845Z,2018-10-25T12:32:54.728Z,uuid:a3b76bbf-9a9e-44c8-ac37-d9f43037bb49,a3b76bbf-9a9e-44c8-ac37-d9f43037bb49,2018-10-25T15:42:07,,
2018-10-25T12:33:07.794Z,9,8003,8003,2018-10-10T12:00:00.000Z,2018-10-10T16:00:00.000Z,2018-10-11T15:00:00.000Z,n/a,n/a,n/a,7,100,3,45,7,10,3,5,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-25T12:34:42.624Z,2018-10-25T12:33:07.794Z,2018-10-25T12:34:42.624Z,uuid:a6680ffc-88a3-4554-9557-7141161bf282,a6680ffc-88a3-4554-9557-7141161bf282,2018-10-25T15:42:09,,
