deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt_note,h_dw_e_wt,h_dw_e_wt_other,h_o,h_o_a,h_o_a_other,h_o_c,h_o_c_other,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_end,h_notes,h_enum,__version__,_id,_uuid,_submission_time,_index
3.60E+14,46,2017-06-13T08:46:00.824+06,23.823719776749765 90.3777068927371 -1.0 0.0,23.82371978,90.37770689,-1,0,11,2,1,5,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,fdb23cae-8bf7-4073-bcbd-4155455d754a,2017-06-18T10:29:29,
3.60E+14,47,2017-06-13T09:24:00.087+06,23.824015264982613 90.3783828585772 7.0 0.0,23.82401526,90.37838286,7,0,11,2,1,6,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,2,,1,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,f175a759-74d6-46d4-97e6-1d63de909e38,2017-06-18T10:21:40,
3.60E+14,48,2017-06-13T09:53:00.823+06,23.82398364258306 90.37799781486517 -36.0 0.0,23.82398364,90.37799781,-36,0,11,2,1,6,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,cfd2b817-9918-41dd-9a04-d9dd9732e3e9,2017-06-18T10:31:16,
3.60E+14,49,2017-06-13T10:24:00.148+06,23.823938601535676 90.37808088237057 -54.0 0.0,23.8239386,90.37808088,-54,0,11,2,1,6,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,2,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,b1654b03-9fec-47b4-a037-97729041d7d2,2017-06-18T10:21:59,
3.60E+14,50,2017-06-13T11:16:00.881+06,23.82379455417676 90.37786399156566 0.0 0.0,23.82379455,90.37786399,0,0,11,2,1,6,1,,4,,4,,,1,,1,,,1,,2,,,1,,1,,,1,,,,,,,,2,,2,,,2,,3,,1,,,4,,2,,,1,,1,,,2,,,,,,,,,,,,,,,16cb288a-418d-43b1-bbeb-40e2a7ec1783,2017-06-18T10:27:19,
3.60E+14,51,2017-06-12T09:56:00.124+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,6,1,,4,,4,,,1,,1,,,1,,1,,,3,,3,,,2,,,,,,,,2,,2,,,4,,4,,1,,,4,,1,,,1,,1,,,2,,,,,,,,,,,,,,,8ae65c8d-d980-4994-9596-b7b53dfe0118,2017-06-15T08:02:50,
3.60E+14,52,2017-06-12T11:07:00.466+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,5,1,,4,,4,,,4,,4,,,1,,1,,,4,,4,,,2,,,,,,,,2,,1,,,3,,1,,1,,,3,,2,,,4,,4,,,1,,1,,2,,1,,,,,,,,,d64f0143-3407-4527-8556-5ebcf4e7cec2,2017-06-20T05:44:46,
3.60E+14,53,2017-06-12T12:03:00.168+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,3,1,,4,,4,,,1,,1,,,3,,2,,,1,,1,,,1,,,,,,,,2,,2,,,3,,3,,,,,4,,4,,,1,,1,,,2,,,,,,,,,,,,,,,98b6720a-678a-40bc-b90d-8b9c9ebc524d,2017-06-20T04:43:51,
3.60E+14,54,2017-06-12T13:09:00.050+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,7,1,,1,,4,,,1,,1,,,3,,1,,,4,,4,,,2,,,,,,,,2,,1,,,3,,3,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,cc53ded8-f0fe-4f25-b7d5-5e01359185ca,2017-06-20T05:45:20,
3.60E+14,55,2017-06-12T13:53:00.047+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,4,1,,4,,4,,,1,,1,,,3,,4,,,4,,4,,,2,,,,,,,,2,,2,,,2,,2,,,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,25574fd0-e659-41a1-958a-b241076097ab,2017-06-15T08:18:42,
