lab_start_dt,subscriberid,simserial,deviceid,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubatorms_placed,lab_incubatorms_removed,lab_pcr_date,lab_dna_done,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-11-22T12:00:13.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:01:33.000-07:00,59,1,99,FB1143,FB1143,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T16:50:00.000-07:00,0,NULL,NA,Associated Sample PLc1086 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5482,bd1ea03e-bc67-4860-ae48-e4ae6b7ae8cb,2019-11-22T06:28:51,434
2019-11-22T12:01:33.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:02:39.000-07:00,59,1,11,PLc1087,PLc1087,2019-11-19T16:10:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:45:00.000-07:00,2019-11-20T17:19:00.000-07:00,1,1574208000,NA,NOT TURBID,4,vGpS723vVDancxDf5Dr86o,5483,88f9d728-dc51-4a5a-88d4-5bb92f4f11d5,2019-11-22T06:29:55,435
2019-11-22T12:02:39.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:05:30.000-07:00,59,1,99,FB1144,FB1144,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T16:55:00.000-07:00,0,NULL,NA,Associated Sample PLc1087 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5484,ae99e52a-925f-4ebf-aee0-e5409d31fdee,2019-11-22T06:32:47,436
2019-11-22T12:05:30.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:06:38.000-07:00,55,1,12,MO1118,MO1118,2019-11-19T16:20:00.000-07:00,2019-11-19T16:30:00.000-07:00,2019-11-20T16:30:00.000-07:00,2019-11-20T17:40:00.000-07:00,1,1574208000,NA,NA,6,vGpS723vVDancxDf5Dr86o,5485,dfb6fb46-6fe2-441b-9094-95e9e8dc9e09,2019-11-22T06:33:56,437
2019-11-22T12:06:38.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:08:06.000-07:00,55,1,99,FB1145,FB1145,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T17:05:00.000-07:00,1,1574208000,NA,Associated Sample MO1118 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5486,533a0507-2427-47df-b68c-4742627557af,2019-11-22T06:35:22,438
2019-11-22T12:08:06.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:09:03.000-07:00,57,1,12,MO1119,MO1119,2019-11-19T16:20:00.000-07:00,2019-11-19T16:30:00.000-07:00,2019-11-20T16:30:00.000-07:00,2019-11-20T17:45:00.000-07:00,1,1574208000,NA,NA,6,vGpS723vVDancxDf5Dr86o,5487,f17b1e3d-e269-40bd-89d5-1733c67b9806,2019-11-22T06:36:20,439
2019-11-22T12:09:03.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:10:21.000-07:00,57,1,99,FB1146,FB1146,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T17:05:00.000-07:00,0,NULL,NA,Associated Sample MO1119 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5488,e44e2bc3-60f3-4ec4-9949-ec8622a3431e,2019-11-22T06:37:40,440
2019-11-22T12:10:21.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-22T12:13:18.000-07:00,58,1,99,FB1147UP,FB1147UP,2019-11-20T15:20:00.000-07:00,2019-11-20T15:45:00.000-07:00,2019-11-21T15:45:00.000-07:00,2019-11-21T16:00:00.000-07:00,1,1574294400,NA,"Associated Sample COa1007, COb1020, COb1021, COb1022 and TURBID",6,vGpS723vVDancxDf5Dr86o,5489,b8de7884-bca4-4737-a696-9bdab2cbc001,2019-11-22T06:40:35,441
2019-11-25T12:55:27.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:02:14.000-07:00,33,1,98,UPNC48,UPNC48,2019-11-18T16:00:00.000-07:00,2019-11-18T16:15:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-19T16:45:00.000-07:00,0,NULL,NA,NOT TURBID,4,vGpS723vVDancxDf5Dr86o,5538,93433222-8135-4ffb-9beb-3c299414e8db,2019-11-25T07:29:30,442
2019-11-25T13:02:14.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:05:00.000-07:00,33,1,98,UPNC49,UPNC49,2019-11-19T16:00:00.000-07:00,2019-11-19T16:15:00.000-07:00,2019-11-20T16:15:00.000-07:00,2019-11-20T17:05:00.000-07:00,0,NULL,NA,NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5539,a99a5fd9-8d33-40e6-bc74-5d7c78ddc4c9,2019-11-25T07:32:16,443
2019-11-25T13:05:00.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:06:14.000-07:00,33,1,98,UPNC50,UPNC50,2019-11-20T15:20:00.000-07:00,2019-11-20T15:45:00.000-07:00,2019-11-21T15:45:00.000-07:00,2019-11-21T16:00:00.000-07:00,0,NULL,NA,NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5540,6867dbe9-0149-4a84-b3e2-4c978dafa6e2,2019-11-25T07:33:30,444
2019-11-25T13:06:14.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:09:09.000-07:00,59,1,11,PLc1088,PLc1088,2019-11-21T15:30:00.000-07:00,2019-11-21T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,NA,4,vGpS723vVDancxDf5Dr86o,5541,9eb04f45-b604-43ea-a422-6fa4094d77eb,2019-11-25T07:36:24,445
2019-11-25T13:09:09.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:10:45.000-07:00,59,1,99,FB1150,FB1150,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,Associated Sample PLc1088 and TURBID,6,vGpS723vVDancxDf5Dr86o,5542,d878952b-d0b7-4114-99f2-a790c00a7f52,2019-11-25T07:38:00,446
2019-11-25T13:10:45.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:11:59.000-07:00,59,1,11,PLc1089,PLc1089,2019-11-21T15:30:00.000-07:00,2019-11-21T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,NA,4,vGpS723vVDancxDf5Dr86o,5543,9a950179-d8ab-4098-bc8b-3b722a47d147,2019-11-25T07:39:14,447
2019-11-25T13:11:59.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:13:27.000-07:00,59,1,99,FB1151,FB1151,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,Associated Sample PLc1089 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5544,6d43bb91-6ba7-4c4c-88a4-8e497da8cd7a,2019-11-25T07:40:42,448
2019-11-25T13:13:27.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:14:24.000-07:00,59,1,11,PLc1090,PLc1090,2019-11-21T15:30:00.000-07:00,2019-11-21T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,NA,6,vGpS723vVDancxDf5Dr86o,5545,de609e0b-4a17-4810-9a8d-3da085729cd8,2019-11-25T07:41:39,449
2019-11-25T13:14:24.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:15:39.000-07:00,59,1,99,FB1152,FB1152,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,Associated Sample PLc1090 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5546,42e41270-ac92-4412-99c7-48aeb8183f05,2019-11-25T07:42:54,450
2019-11-25T13:15:39.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:16:38.000-07:00,58,1,11,PLc1091,PLc1091,2019-11-21T15:30:00.000-07:00,2019-11-21T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,NA,6,vGpS723vVDancxDf5Dr86o,5547,956fa2ee-cb12-40dd-9860-420e867adbf0,2019-11-25T07:43:52,451
2019-11-25T13:16:38.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:17:54.000-07:00,58,1,99,FB1153,FB1153,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,Associated Sample PLc1091 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5548,d6b086d4-3e4e-49cd-a3b5-feddc2c1762d,2019-11-25T07:45:08,452
2019-11-25T13:17:54.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:18:55.000-07:00,66,1,12,MO1120,MO1120,2019-11-21T16:10:00.000-07:00,2019-11-21T16:25:00.000-07:00,2019-11-22T16:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,NA,4,vGpS723vVDancxDf5Dr86o,5549,cc862381-b966-4377-bc2d-044715132824,2019-11-25T07:46:10,453
2019-11-25T13:18:55.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:20:13.000-07:00,66,1,99,FB1148,FB1148,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,1,1574380800,NA,Associated Sample MO1120 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5550,2997f4fe-0c1f-4209-bcd6-d0d27bef9261,2019-11-25T07:47:29,454
2019-11-25T13:20:13.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:22:27.000-07:00,33,1,98,UPNC51,UPNC51,2019-11-21T15:00:00.000-07:00,2019-11-21T15:25:00.000-07:00,2019-11-22T15:25:00.000-07:00,2019-11-22T16:00:00.000-07:00,0,NULL,NA,NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5551,e1abb076-a6e4-496f-9f9e-8e9d880e95da,2019-11-25T07:49:42,455
2019-11-25T13:22:27.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:23:59.000-07:00,59,1,11,PLc1092,PLc1092,2019-11-22T15:30:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-23T16:00:00.000-07:00,2019-11-23T16:45:00.000-07:00,0,NULL,NA,NA,6,vGpS723vVDancxDf5Dr86o,5552,8b068436-f9ef-44e8-a598-c7b71dbd1f4a,2019-11-25T07:51:15,456
2019-11-25T13:23:59.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:27:40.000-07:00,59,1,99,FB1154,FB1154,2019-11-22T15:00:00.000-07:00,2019-11-22T15:30:00.000-07:00,2019-11-23T15:30:00.000-07:00,2019-11-23T17:00:00.000-07:00,0,NULL,NA,Associated Sample and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5553,5540122a-678c-46df-9b6f-2769870e7751,2019-11-25T07:54:56,457
2019-11-25T13:27:40.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:29:32.000-07:00,59,1,11,PLc1093,PLc1093,2019-11-22T15:30:00.000-07:00,2019-11-22T16:00:00.000-07:00,2019-11-23T16:00:00.000-07:00,2019-11-23T16:45:00.000-07:00,0,NULL,NA,NA,6,vGpS723vVDancxDf5Dr86o,5554,ba4b27f2-5fef-47e4-9652-943352c301d0,2019-11-25T07:56:48,458
2019-11-25T13:29:32.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019-11-25T13:30:51.000-07:00,59,1,99,FB1155,FB1155,2019-11-22T15:00:00.000-07:00,2019-11-22T15:30:00.000-07:00,2019-11-23T15:30:00.000-07:00,2019-11-23T17:00:00.000-07:00,0,NULL,NA,Associated Sample PLc1093 and NOT TURBID,6,vGpS723vVDancxDf5Dr86o,5555,7238d6ad-3e03-4f58-bf49-6eaeff3c23de,2019-11-25T07:58:07,459
