"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"SCA2037",2037,"5/19/2016","1/0/1900","87-29","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",2,4,998,999,998,999,0,0,"Sumeya/Anabela","Mario Amos/J",0,6,0,999,,,"","08_08_1048"
"SCA2038",2038,"5/18/2016","1/0/1900","83-29","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",2,4,42,0,999,41,0,0,"Sumeya/Anabela","Salma/J",0,4,0,15,,56.53,"","08_08_1049"
"SCA2039",2039,"5/31/2016","1/0/1900","100-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",2,4,999,13,999,999,0,0,"Gizela/Eloisa","J/Mario Amos",0,6,0,25,,31.13,"","08_08_1050"
"SCA2040",2040,"5/24/2016","1/0/1900","95-29","",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,19,998,999,0,0,"Sumeya/Anabela","Laurinda/Mario Amos",0,6,2,999,,40.13,"","08_08_1051"
"SCA2041",2041,"5/24/2016","1/0/1900","075-43","solo humido e com pedrinhas",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",2,4,998,998,998,998,0,0,"Gizela/Eloisa","Laurinda/Mario Amos",0,6,13,999,,35.03,"","08_08_1052"
"SCA2042",2042,"5/12/2016","1/0/1900","055-43","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",2,4,30,3,999,999,0,0,"Gizela/Eloisa","Laurinda/J",0,6,2,170,,45.59,"","08_08_1053"
"SCA2043",2043,"5/13/2016","1/0/1900","058-43","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",2,4,998,999,998,999,0,0,"Gizela/Eloisa","Salma/J",0,6,22,999,,36.16,"","08_08_1054"
"SCA2044",2044,"5/23/2016","1/0/1900","090-29","",2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",2,4,999,8,999,999,0,0,"Gizela/Eloisa","J/Mario Amos",0,6,0,175,,31.44,"","08_08_1055"
"SCA3001",3001,"5/5/2016","1/0/1900","038-43","",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",2,4,63,27,998,999,0,0,"Eloisa/Gizela","Laurinda/j",0,6,0,999,,,"","08_08_1056"
"SCA3006",3006,"5/10/2016","1/0/1900","049-43","",2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Salma",0,6,19,999,,48.3,"","08_08_1057"
"SCA3030",3030,"5/9/2016","1/0/1900","59-29","O solo esta humido pela chuva",2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",2,4,999,999,999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,6,14,999,,45.99,"","08_08_1058"
"SCA3031",3031,"5/3/2016","1/0/1900","033-43","",2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",2,5,998,999,998,999,0,0,"Anabela/Sumeya","Mario Amos",0,6,5,36,,,"","08_08_1059"
"SCA3032",3032,"5/10/2016","1/0/1900","62-29","",2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",2,4,998,36,998,999,0,0,"Anabela/Sumeya","Salma/Mario",0,6,0,999,,39.95,"","08_08_1060"
"SCA3033",3033,"5/11/2016","1/0/1900","066-29","",2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",2,4,998,3,998,999,0,0,"Eloisa/Gizela","J/Salma",0,6,0,999,,42.56,"","08_08_1061"
"SCA3034",3034,"5/9/2016","1/0/1900","046-43","Solo Humido",2016-05-09,"12:10:00",2016-05-10,"16:10:00",2016-05-11,"16:10:00",2,4,998,999,998,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,6,5,999,,48.68,"","08_08_1062"
"SCA3036",3036,"5/11/2016","1/0/1900","52-43","",2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",2,4,998,41,998,999,0,0,"Sumeya/Anabela","J/Salma",0,6,0,190,,51.49,"","08_08_1063"
"SCA3037",3037,"5/5/2016","1/0/1900","51-29","",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",2,4,998,3,998,999,0,0,"Anabela/Sumeya","Laurinda/J",0,6,0,89,,,"","08_08_1064"
"SCA3039",3039,"5/3/2016","1/0/1900","031-43","",2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",2,4,998,999,998,999,0,0,"Anabela/Eloisa","Mario Amos",0,6,134,999,,,"","08_08_1065"
"SCB2029",2029,"5/31/2016","1/0/1900","072-43","",2016-05-31,"11:25:00",2016-05-31,"17:15:00",2016-06-01,"17:15:00",2,4,999,999,999,999,0,0,"Eloisa/Gizela","Mario Amos/J",0,6,2,28,,,"","08_08_1066"
"SCB2030",2030,"5/6/2016","1/0/1900","043-43","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",2,4,998,8,998,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,6,0,999,,,"","08_08_1067"
