"lab_neighborhood","lab_ws_cl_free","lab_ws_cl_total","lab_1_group","lab_1_dil","lab_2_group","lab_2_dil","lab_3_group","lab_3_dil","meta.instanceID","X_parent_table_name","X_parent_index","Cube.or.Hygiene.Ice","lab_UID"
3,,,,700,,70,,,"uuid:dc0444c6-740d-470a-b469-44235bb5245a",,-1,0,"01_33_1207"
3,,,,700,,70,,,"uuid:95f5f91c-fbd2-4239-98f6-e57167228fe8",,-1,0,"01_33_1208"
3,,,,700,,70,,,"uuid:cd5cbc23-9d78-408a-bffb-60bef4420503",,-1,0,"01_33_1209"
5,,,,700,,70,,,"uuid:08edf358-55b1-4328-acfd-df5ee91b891d",,-1,1,"01_33_1210"
5,,,,700,,70,,,"uuid:a3062ecb-b6bb-42ad-9312-46264f87e982",,-1,2,"01_33_1211"
5,,,,700,,70,,,"uuid:89649987-1258-4c09-9d66-53f45ad7e379",,-1,2,"01_33_1212"
5,,,,700,,70,,,"uuid:ecbc5074-7615-4ed8-8e91-b3b35879192f",,-1,2,"01_33_1213"
5,,,,700,,70,,,"uuid:615100ef-d3a1-4d34-9076-5a705d9cafc1",,-1,1,"01_33_1214"
5,,,,700,,70,,,"uuid:9e52c80d-83b3-477b-88a4-c23e0d680e54",,-1,1,"01_33_1215"
5,,,,700,,70,,,"uuid:beea74fe-30cc-4522-9ea7-b681439a17b9",,-1,2,"01_33_1216"
5,,,,700,,70,,,"uuid:11c36956-4bc9-4197-8595-7457f406f2a6",,-1,1,"01_33_1217"
5,,,,700,,70,,,"uuid:f71b2401-ad96-4908-bfc6-392d93968c87",,-1,2,"01_33_1218"
5,,,,700,,70,,,"uuid:98dc24b6-6881-44b1-9c7d-4e92afad2211",,-1,1,"01_33_1219"
1,,,,6,,5,,4,"uuid:30e5de4f-5bb3-4ee3-8c01-90a68e802d99",,-1,,"01_08_1220"
1,,,,6,,5,,4,"uuid:a1fcad02-0759-4cb0-9bad-4b03a45e8ff3",,-1,,"01_08_1221"
1,,,,6,,5,,4,"uuid:1874aa99-2ec7-45e9-b2de-538b181793de",,-1,,"01_08_1222"
1,,,,6,,5,,4,"uuid:495d5924-772b-40b2-ad14-8dc21d28a2f8",,-1,,"01_08_1223"
