"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","tc_ecnt3","dis_com","weight","feces_3m","fd_type","fd_num","lat_type","lat_other","n_stall","Vis_fec","HW_stat","lab_UID"
"CPO3031",3031,"5/3/2016","1/0/1900",25.94338,32.57972,"034-43",2,,"",,,,,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",999,29,,,"Sumeya/Anabela","Mario Amos",1,0,1.55,,,"",,,"",,,,"08_06_1040"
"CPO3034",3034,"5/9/2016","1/0/1900",25.94315,32.58111,"047-43",2,,"",,,,,2016-05-09,"12:10:00",2016-05-09,"16:05:00",2016-05-10,"16:05:00",999,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",1,999,2.1,,,"",,,"",,,,"08_06_1041"
"SCA2029",2029,"5/19/2016","1/0/1900",25.9441,32.56049,"072-43",1,1,"",,,,,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",998,999,0,0,"Eloisa/Gizela","Mario Amos/J",0,175,,,,"",,,"",,,,"08_08_1042"
"SCA2030",2030,"5/6/2016","1/0/1900",25.94731,32.55198,"043-43",1,1,"",,,,,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:16:00",999,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,33,,,,"",,,"",,,,"08_08_1043"
"SCA2032",2032,"5/31/2016","1/0/1900",25.94366,32.55768,"101-29",1,1,"",,,,,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/Laurinda",0,56,,27.18,,"",,,"",,,,"08_08_1044"
"SCA2034",2034,"5/13/2016","1/0/1900",25.94372,32.55788,"72-29",1,1,"",,,,,2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",998,999,0,0,"Sumeya/Anabela","Salma/J",0,185,,52.67,,"",,,"",,,,"08_08_1045"
"SCA2035",2035,"5/12/2016","1/0/1900",25.94493,32.55373,"69-29",1,1,"",,,,,2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",998,999,,,"Sumeya/Anabela","Laurinda/J",0,999,,51.54,,"",,,"",,,,"08_08_1046"
"SCA2036",2036,"5/18/2016","1/0/1900",25.96208,32.58931,"069-43",1,1,"",,,,,2016-05-18,"12:10:00",2016-05-18,"12:10:00",2016-05-19,"12:10:00",998,999,0,0,"Gizela/Eloisa","Salma/J",0,141,,37.35,,"",,,"",,,,"08_08_1047"
"SCA2037",2037,"5/19/2016","1/0/1900",25.93123,32.56131,"87-29",1,1,"",,,,,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",998,999,0,0,"Sumeya/Anabela","Mario Amos/J",0,999,,,,"",,,"",,,,"08_08_1048"
"SCA2038",2038,"5/18/2016","1/0/1900",25.93495,32.56274,"83-29",1,1,"",,,,,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",999,41,0,0,"Sumeya/Anabela","Salma/J",0,15,,56.53,,"",,,"",,,,"08_08_1049"
"SCA2039",2039,"5/31/2016","1/0/1900",25.94912,32.55864,"100-29",1,1,"",,,,,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",999,999,0,0,"Gizela/Eloisa","J/Mario Amos",0,25,,31.13,,"",,,"",,,,"08_08_1050"
"SCA2040",2040,"5/24/2016","1/0/1900",25.94865,32.55929,"95-29",1,1,"",,,,,2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",998,999,0,0,"Sumeya/Anabela","Laurinda/Mario Amos",0,999,,40.13,,"",,,"",,,,"08_08_1051"
"SCA2041",2041,"5/24/2016","1/0/1900",25.93351,32.56263,"075-43",1,1,"solo humido e com pedrinhas",,,,,2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",998,998,0,0,"Gizela/Eloisa","Laurinda/Mario Amos",0,999,,35.03,,"",,,"",,,,"08_08_1052"
"SCA2042",2042,"5/12/2016","1/0/1900",25.94208,32.58847,"055-43",1,1,"",,,,,2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",999,999,0,0,"Gizela/Eloisa","Laurinda/J",0,170,,45.59,,"",,,"",,,,"08_08_1053"
"SCA2043",2043,"5/13/2016","1/0/1900",25.94532,32.55682,"058-43",1,1,"",,,,,2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",998,999,0,0,"Gizela/Eloisa","Salma/J",0,999,,36.16,,"",,,"",,,,"08_08_1054"
"SCA2044",2044,"5/23/2016","1/0/1900",25.94214,32.55713,"090-29",1,1,"",,,,,2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",999,999,0,0,"Gizela/Eloisa","J/Mario Amos",0,175,,31.44,,"",,,"",,,,"08_08_1055"
"SCA3001",3001,"5/5/2016","1/0/1900",25.94451,32.57955,"038-43",2,1,"",,,,,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",998,999,0,0,"Eloisa/Gizela","Laurinda/j",0,999,,,,"",,,"",,,,"08_08_1056"
"SCA3006",3006,"5/10/2016","1/0/1900",25.96213,32.58968,"049-43",2,1,"",,,,,2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",998,999,0,0,"Eloisa/Gizela","Salma",0,999,,48.3,,"",,,"",,,,"08_08_1057"
"SCA3030",3030,"5/9/2016","1/0/1900",25.94335,32.58104,"59-29",2,1,"O solo esta humido pela chuva",,,,,2016-05-09,"12:10:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/Salma",0,999,,45.99,,"",,,"",,,,"08_08_1058"
"SCA3031",3031,"5/3/2016","1/0/1900",25.94342,32.57977,"033-43",2,1,"",,,,,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",998,999,0,0,"Anabela/Sumeya","Mario Amos",0,36,,,,"",,,"",,,,"08_08_1059"
"SCA3032",3032,"5/10/2016","1/0/1900",25.94332,32.58118,"62-29",1,1,"",,,,,2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",998,999,0,0,"Anabela/Sumeya","Salma/Mario",0,999,,39.95,,"",,,"",,,,"08_08_1060"
"SCA3033",3033,"5/11/2016","1/0/1900",25.94157,32.58826,"066-29",2,1,"",,,,,2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",998,999,0,0,"Eloisa/Gizela","J/Salma",0,999,,42.56,,"",,,"",,,,"08_08_1061"
"SCA3034",3034,"5/9/2016","1/0/1900",25.94716,32.55196,"046-43",2,1,"Solo Humido",,,,,2016-05-09,"12:10:00",2016-05-10,"16:10:00",2016-05-11,"16:10:00",998,999,0,0,"Eloisa/Gizela","Mario Amos/Salma",0,999,,48.68,,"",,,"",,,,"08_08_1062"
"SCA3036",3036,"5/11/2016","1/0/1900",25.94165,32.58835,"52-43",2,1,"",,,,,2016-05-11,"11:00:00",2016-05-11,"16:00:00",2016-05-12,"16:00:00",998,999,0,0,"Sumeya/Anabela","J/Salma",0,190,,51.49,,"",,,"",,,,"08_08_1063"
"SCA3037",3037,"5/5/2016","1/0/1900",25.945,32.57927,"51-29",2,1,"",,,,,2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",998,999,0,0,"Anabela/Sumeya","Laurinda/J",0,89,,,,"",,,"",,,,"08_08_1064"
"SCA3039",3039,"5/3/2016","1/0/1900",25.94148,32.58819,"031-43",2,1,"",,,,,2016-05-03,"15:30:00",2016-05-03,"18:10:00",2016-05-04,"18:10:00",998,999,0,0,"Anabela/Eloisa","Mario Amos",0,999,,,,"",,,"",,,,"08_08_1065"
"SCB2029",2029,"5/31/2016","1/0/1900",25.9441,32.56049,"072-43",1,3,"",,,,,2016-05-31,"11:25:00",2016-05-31,"17:15:00",2016-06-01,"17:15:00",999,999,0,0,"Eloisa/Gizela","Mario Amos/J",0,28,,,,"",,,"",,,,"08_08_1066"
"SCB2030",2030,"5/6/2016","1/0/1900",25.94731,32.55198,"043-43",1,3,"",,,,,2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",998,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,999,,,,"",,,"",,,,"08_08_1067"
"SCB2031",2031,"5/6/2016","1/0/1900",25.94634,32.55229,"56-29",1,3,"",,,,,2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",998,0,0,0,"Sumeya/Anabela","J/Mario Amos",0,0,,,,"",,,"",,,,"08_08_1068"
"SCB2032",2032,"5/31/2016","1/0/1900",25.94366,32.55768,"101-29",1,3,"",,,,,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",998,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,2,,45.18,,"",,,"",,,,"08_08_1069"
"SCB2034",2034,"5/13/2016","1/0/1900",25.94372,32.55788,"72-29",1,3,"",,,,,2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",998,999,,,"Sumeya/Anabela","Salma/J",0,22,,38.62,,"",,,"",,,,"08_08_1070"
"SCB2035",2035,"5/12/2016","1/0/1900",25.94493,32.55373,"69-29",1,3,"",,,,,2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",999,999,,,"Sumeya/Anabela","Laurinda/j",0,120,,48.91,,"",,,"",,,,"08_08_1071"
"SCB2036",2036,"5/18/2016","1/0/1900",25.96208,32.58931,"069-43",1,3,"",,,,,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",998,999,0,0,"Eloisa/Gizela","Salma/J",0,999,,49.3,,"",,,"",,,,"08_08_1072"
"SCB2037",2037,"5/19/2016","1/0/1900",25.93123,32.56131,"87-29",1,3,"",,,,,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",999,999,0,0,"Sumeya/Anabela","Mario Amos/J",0,41,,,,"",,,"",,,,"08_08_1073"
"SCB2038",2038,"5/18/2016","1/0/1900",25.93495,32.56274,"83-29",1,3,"",,,,,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",998,999,0,0,"Sumeya/Anabela","Salma/J",0,999,,27.63,,"",,,"",,,,"08_08_1074"
"SCB2039",2039,"5/31/2016","1/0/1900",25.94912,32.55864,"100-29",1,3,"",,,,,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",999,999,0,0,"Eloisa/Gizela","Mario Amos/ J",0,63,,50.73,,"",,,"",,,,"08_08_1075"
"SCB2040",2040,"5/24/2016","1/0/1900",25.94865,32.55929,"95-29",1,3,"",,,,,2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",998,998,0,0,"Sumeya/Anabela","Laurinda / Mario Amos",0,999,,30.08,,"",,,"",,,,"08_08_1076"
