"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"4032",0,,,,,"","","Rainy season (street flood)",3,"",5,"Only bottle water 20L",6,"Only bottle water 20 L",3,"",5,"Small bottle water 0.5L",3,"","","","Cucumber, long bean, eggplant, latuce ....",4,,"",,"","uuid:fce65fa9-6604-4233-a154-888597743a87",,-1,"4032",0,"01_1238"
"4056",0,,,,,"","","Rainy season (street flood)",3,"",5,"Small bottle water 0.5L",3,"",3,"",5,"Small bottle water 0.5L",3,"","Bottle water 20L","","Latuce, cucumber, long bean, cabac....",4,,"",,"","uuid:f7b67243-6543-498e-85d0-a9b2006ae342",,-1,"4056",0,"01_1239"
"4059",0,,,,,"","","Rainy season (street flood)",3,"",5,"Small bottle water 0.5L",3,"",3,"",5,"Small bottle water 0.5L",3,"","Bottle water 20L","","Cucumber, latuce, long bean, morning glory.....",4,,"",,"","uuid:ab7209b7-caf4-456c-9741-3b3bb0466c9a",,-1,"4059",0,"01_1240"
"4064",0,,,,,"","","Rainy season",3,"",5,"Small bottle water 0.5L",3,"",3,"",5,"Small bottle water 0.5L",3,"","Bottle water 20L","","Cucumbers, cabac, latuce.....",4,,"",,"","uuid:dabfaaac-32bb-4ec9-a587-ceb3ba0f0d39",,-1,"4064",0,"01_1241"
"4034",0,,,,,"","","Rainy season(street flood)",3,"",5,"Small bottle water 1.5L",3,"",3,"",5,"Small bottle water 1.5 L",3,"","","","Long bean, Cucumber, latuce.....",4,,"",,"","uuid:948c2e3d-04b7-4afa-a971-b66ab4b69bd3",,-1,"4034",0,"01_1242"
"4993",0,,,,,"","Don't have drains","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","Rain water","","Latuice cucumber water Lyly eggplant",5,,"They flush and pour flash",,"","uuid:40bfd589-855d-483a-81f2-308a8c240acb",,-1,"4993",0,"01_1243"
"4009a",0,,,,,"","Don't have drain","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Small bottle water 500ml","Boil","Cucumber morning Glory latuice carrot",5,,"",,"","uuid:05402881-8ebe-4244-b273-740f462fd9ff",,-1,"4009a",0,"01_1244"
"4010a",0,,,,,"","","Rainy season",3,"",3,"",1,"",,"",,"",,"","Boil","Boil","Cucumber latuice",5,,"",,"","uuid:1df5f58a-b024-4096-a3b7-9c4920c25c86",,-1,"4010a",0,"01_1245"
"4011a",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",1,"",,"",,"",,"","Bottle water","","Cucumber cabbage",4,,"",,"","uuid:5088fbe2-6bb5-4cc0-88ee-47d8c95ae312",,-1,"4011a",0,"01_1246"
"4012a",0,,,,,"","Don't have","Rainy season",3,"",3,"",1,"",3,"",3,"",1,"","Bottle water","","",5,,"",,"","uuid:90190abd-a059-4d2e-a348-1e051ba1484f",,-1,"4012a",0,"01_1247"
"4013a",0,,,,,"","Don't have drain","Rainy season",2,"",3,"",3,"",2,"",3,"",3,"","Boil","Filter and boil","Cucumber latuice morning glory",5,,"",,"","uuid:10a497f1-1342-4a89-9e78-ab9949efadfc",,-1,"4013a",0,"01_1248"
"4013a",0,,,,,"","Don't have open drains","Rainy season",3,"",3,"",3,"",3,"",3,"",3,"","Small bottle water","","They don't like vegetables",4,,"",,"","uuid:b194e1b9-2490-4512-8ebf-75e7305ebd82",,-1,"4013a",0,"01_1249"
"4014a",0,,,,,"","Don't have open drains","Rainy season",3,"",2,"",3,"",3,"",2,"",3,"","","Boil","Cucumber morning glory eggplant",4,,"",,"","uuid:b44b69d4-f529-4e45-9ecb-5713725c3998",,-1,"4014a",0,"01_1250"
