"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
2,1,,"uuid:a810fa84-abfc-4bc9-8643-173cc8cd199f",,,"09_1193"
1,1,,"uuid:90ce2458-1245-4753-aad9-a58bd2c64e5c",,,"09_1194"
1,1,,"uuid:38c25030-1b8b-4e23-ae6d-e4bad2e9c936",,,"09_1195"
1,2,,"uuid:1a68fb8e-fb5a-4536-8436-1c644bb65e7f",,,"09_1196"
1,2,,"uuid:9812375e-d906-4b42-afd9-2025b189d8a3",,,"09_1197"
1,2,,"uuid:dcb9c508-e057-4aa9-86e8-0417f4f4264b",,,"09_1198"
1,2,,"uuid:e6190170-2d60-48cb-9889-2fde8f2897fd",,,"09_1199"
1,2,,"uuid:71177ac4-7058-4763-8969-3a350145cc2d",,,"09_1200"
1,2,,"uuid:e46eaa44-d2d5-4871-9ead-e78180d84b99",,,"09_1201"
1,2,,"uuid:4d91407d-6bb6-4cdc-a15d-688a30222034",,,"09_1202"
1,2,,"uuid:b3c101c4-d564-4945-b87e-adfad5eeda72",,,"09_1203"
1,2,,"uuid:eee3094f-914e-434d-a31b-55e1500d8aee",,,"09_1204"
1,2,,"uuid:29f44e37-90db-40cb-94ad-1b07dbb481ce",,,"09_1205"
1,2,,"uuid:cae29618-6a2e-4da4-a89d-be6d00c8c571",,,"09_1206"
1,2,,"uuid:4131b816-209e-41fc-99ab-247ea283a4ae",,,"09_1207"
1,2,,"uuid:b10f7cd0-d360-49ef-bea2-a535f1885d37",,,"09_1208"
1,2,,"uuid:b11bd910-699c-4420-a095-a4eecd95e4a1",,,"09_1209"
1,2,,"uuid:1fe1c135-31fb-4cac-b2b7-2a3cd2b16baf",,,"09_1210"
1,2,,"uuid:90f2fa13-2f76-486b-b734-3adc6b82af62",,,"09_1211"
1,1,,"uuid:c7ecfd62-2a9f-41b3-b737-772fb953f835",,,"09_1212"
2,1,,"uuid:f2836bfe-691a-4a58-9577-2a1587fd549f",,,"09_1213"
1,1,,"uuid:dd26bd50-af62-4665-80aa-766158d184f4",,,"09_1214"
1,1,,"uuid:2ff737b3-dd42-4f7b-8d93-cd50d548266f",,,"09_1215"
2,1,,"uuid:c5ec869c-a12a-4661-90ac-77733ff0a108",,,"09_1216"
1,1,,"uuid:4fbd4f46-652d-4358-97d1-ec4c1872e95c",,,"09_1217"
1,1,,"uuid:6330f1ed-522c-4051-8374-620c4f32f8e4",,,"09_1218"
1,1,,"uuid:3f608983-7bbd-41ee-a9dd-6364e49a7169",,,"09_1219"
1,1,,"uuid:2e501945-f946-42eb-94bd-a2501b29dc39",,,"09_1220"
1,1,,"uuid:38e9198c-5d96-499a-87cd-0a6df2977c6a",,,"09_1221"
1,1,,"uuid:2cd55eaf-534d-4c7e-ac3b-6d47487408d6",,,"09_1222"
