"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
492,"f426968c-622d-4615-8552-9779569bc52b","2016-03-23 12:11:00","Shiabu","5.53063444","-0.2573366","50.0","5.0","Yes","0317",317,7,,"3","test",,,0,"03_0492"
493,"f4b20ac1-40c6-4d2c-8161-259dd2a9fc29","2016-07-06 10:42:00","Ringway","5.56289403","-0.18381487","55.0","4.0","Yes","SP10",71318,7,,"3","famponsah",,,0,"03_0493"
494,"f5c92870-f666-4235-a055-76d884ff9865","2016-04-27 12:35:00","Chorkor","5.530244571987373","-0.2409962703110411","27.51","6.0","Yes","SP1",4117,4,,"1","maggrey",,,0,"03_0494"
495,"f57eb5c2-411c-462b-85f5-ca0b02c8bd88","2016-03-24 10:47:00","Shiabu","5.53308515","-0.25451405","27.0","6.0","Yes","0419",419,1,,"2 3","test",,,0,"03_0495"
496,"faf41696-37b6-4c7d-94e2-ff20d6302c5a","2016-07-06 10:01:00","Ringway","5.56141827","-0.18353341","54.0","7.0","Yes","sp8",32317,7,,"1","betty",,,0,"03_0496"
497,"ec041490-7b74-432e-b8e4-a3863915999b","2016-03-23 12:03:00","Shiabu","5.5314321","-0.253491","0.0","1560.0","Yes","0414",414,1,,"3","test",,,0,"03_0497"
498,"fee1ec4c-9d55-42fe-bdd4-0f5228458127","2016-06-08 09:50:00","Adabraka","5.56133986","-0.21315923","55.0","13.0","Yes","SP1",4121,7,,"1","ethel",,,0,"03_0498"
499,"ff4d399f-a9f5-4ba6-b110-bf9605328a78","2016-04-27 12:50:00","Chorkor","5.5325524","-0.2433719","0.0","64.5","Yes","SP1",4118,1,,"1","maggrey",,,0,"03_0499"
500,"ff9fe0bf-2858-4f33-8f35-769537655e66","2016-07-18 10:39:00","Kokomlemle","5.57411057","-0.20478841","55.0","4.0","Yes","SP5",51417,7,,"1","reginald",,,0,"03_0500"
501,"27209dec-98b7-48ff-b655-2cff3bdfa002","2016-07-13 10:17:00","Kokomlemle","5.576306","-0.20789826","57.0","8.0","Yes","SP1",20785,7,,"1","maggrey",,,0,"03_0501"
502,"270a3cb4-175a-4068-9c19-128f13cf516c","2016-03-22 12:12:00","Shiabu","5.52346621","-0.25851282","17.0","8.0","Yes","058",58,9,,"3","test",,,0,"03_0502"
503,"275fcbf9-88d2-49bf-a341-aada476958d7","2016-07-13 09:57:00","Kokomlemle","5.57674521","-0.20853439","31.0","9.0","Yes","SP13",7141,7,,"2 3","famponsah",,,0,"03_0503"
504,"689c61dc-3a57-4851-91ec-30f5dac36985","2016-06-09 12:43:00","Adabraka","5.563998789926357","-0.2135108999550619","35.24","6.0","Yes","SP1",41213,9,,"1","maggrey",,,0,"03_0504"
505,"6b70616e-b295-4737-a468-0124f35d10f0","2016-04-26 11:26:00","Chorkor",,,,,"Yes","sp3",8111,1,,"3","annabel",,,0,"03_0505"
506,"6b5bcbbd-8989-4452-b622-75fc69e26092","2016-04-27 12:43:00","Chorkor","5.53039288","-0.24026423","73.0","15.0","Yes","SP5",5117,7,,"1","reginald",,,0,"03_0506"
507,"694b2f63-8b16-4fc2-a112-ac6dbf2045cf","2016-04-25 12:48:00","Chorkor","5.526886966759808","-0.2406859072209934","35.53","4.0","Yes","SP1",414,1,,"3","maggrey",,,0,"03_0507"
