"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:1278fc5c-a740-4b70-a1ea-8d6f708c9891",,-1,"","01_33_1075"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:6ab452c1-0485-4339-b1b0-2fd288c0d910",,-1,"","01_33_1076"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:9dc43736-dc28-42de-8ece-253d3edd475e",,-1,"","01_33_1077"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:bb7314d3-45d7-4311-b3e0-dd843d4ab8d4",,-1,"","01_33_1078"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:b97054ec-c41d-4765-a86b-2658c22966cf",,-1,"","01_33_1079"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:2f4f4f78-4aa2-4882-bb16-5ddddc560133",,-1,"","01_33_1080"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:42e26e6d-1b1e-469b-aee8-60fa605bfd66",,-1,"","01_33_1081"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:d583b6eb-4c4b-4fa1-9514-63a2f3187f0c",,-1,"","01_33_1082"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:47373a34-ae29-475b-9bba-79ff72201656",,-1,"","01_33_1083"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:3c31f5b0-7603-4e65-a1e0-11d84296261c",,-1,"","01_33_1084"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:b45ef175-540a-4e47-9230-656a0d344096",,-1,"","01_33_1085"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:8a6b5279-3147-4cb6-bec5-de87abad8466",,-1,"","01_33_1086"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:2afa0252-16dd-4ea8-b1c8-c120b9ae62c9",,-1,"","01_33_1087"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:bc689181-e1b9-4039-8560-38003e1758df",,-1,"","01_33_1088"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:ad96801c-6ef7-48f4-8749-bd52aebcaa1d",,-1,"","01_33_1089"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:65741d4f-f96b-4041-93ca-8bc3f7f033b4",,-1,"","01_33_1090"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:57f4071c-3ba4-4061-9c16-d37806ec6dfd",,-1,"","01_33_1091"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:69af8bc2-7746-44b5-8afd-3faeb2496526",,-1,"","01_33_1092"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:ab13c0ef-bc0d-4f14-b6eb-cb888bb82c10",,-1,"","01_33_1093"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:ec5420d1-4598-4113-93bf-8150cdec0353",,-1,"","01_33_1094"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:c2833675-19ea-49d2-bb50-78f617ed7649",,-1,"","01_33_1095"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:3e3dfef9-c67c-4455-bc39-1399f8cef114",,-1,"","01_33_1096"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:4e23ce63-7f04-4c5a-8a6e-ab52374cda4a",,-1,"","01_33_1097"
0,,,,,,,,,2,"",1,1,,,,,,,,,"uuid:069a054a-6e33-43b4-aa92-2872869fe920",,-1,"","01_33_1098"
0,,,,,,,,,1,"",1,1,,,,,,,,,"uuid:7c973699-b14a-4986-bf66-cb8ae1fe7baf",,-1,"","01_33_1099"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:7fe7f3c4-aede-411a-9dd5-22dcb248a674",,-1,"","01_03_1100"
0,,,,,,0,,,,"",,,,,,,,,,,"uuid:fea5d831-966f-46c7-8404-e53177ac2bc8",,-1,"","01_03_1101"
