"h_dw_b.1","h_dw_b.2","h_dw_b.3","h_dw_b.4","h_dw_b.5","h_dw_b_other","h_dw_specific","h_dw_d.1","h_dw_d.2","h_dw_d.3","h_dw_d.4","h_dw_d.5","h_dw_d_other","h_dw_cspecific","meta.instanceID","X_tags","X_notes","h_UID"
"True","False","False","False","False",,"Spark mineral water","True","False","False","False","False",,"Spark mineral water","uuid:c5e00c9f-941e-40ff-962b-7aa3299bd679",,,"07_1065"
"True","False","False","False","False",,"Awake mineral water","True","False","False","False","False",,"Awake mineral water","uuid:6e3c03ff-a92b-4e90-86d3-c89d4197204b",,,"07_1066"
"True","False","False","False","False",,"Vivita mineral water","True","False","False","False","False",,"Vivita mineral water","uuid:2158506f-2f07-49e0-a6ac-340140d621a0",,,"07_1067"
"True","False","False","False","False",,"Vivita mineral water and cool mineral water","True","False","False","False","False",,"Vivita mineral water and cool mineral water","uuid:5cf4c590-e79f-4886-a88d-a9aa0741b1cd",,,"07_1068"
"False","False","False","False","True",,"Drinks municipal water","False","False","False","False","True",,"Drinks municipal water","uuid:1869b24c-e2df-4f49-8b67-607e0513e310",,,"07_1069"
"True","False","False","False","False",,"Chrisma mineral water","True","False","False","False","False",,"Chrisma mineral water","uuid:80af108f-8eb9-4ffc-b0fe-2e4e0d93c9fe",,,"07_1070"
"True","False","False","False","False",,"Cool, moble. Sparks and special mineral water ","True","False","False","False","False",,"Cool, moble, Sparks and special mineral water ","uuid:cb4f3d06-11de-4309-9565-285eef1dfab1",,,"07_1071"
"True","False","False","False","False",,"Fyn mineral water ","True","False","False","False","False",,"Fyn mineral water ","uuid:ca2037e7-37cd-48c1-9c45-81031be48638",,,"07_1072"
"True","False","False","False","False",,"Camelot, moble and century mineral water","True","False","False","False","False",,"Camelot, moble and century mineral water","uuid:2f98a0b4-9859-479b-803c-7897926f24dd",,,"07_1073"
"True","False","False","False","False",,"Sparks mineral water ","True","False","False","False","False",,"Sparks mineral water ","uuid:74f7c2be-8ebb-4a40-bd65-7d25ddd01bc0",,,"07_1074"
"True","False","False","False","False",,"Sparks mineral water and cool ","True","False","False","False","False",,"Sparks mineral water and cool mineral water ","uuid:d124cad8-069e-47fa-b685-93d89af2ec0a",,,"07_1075"
"True","False","False","False","False",,"Cool Pac and Sparks water","True","False","False","False","False",,"Cool Pac and Sparks water","uuid:3de3dd22-cb9b-4e4f-b2d5-3c82be6e95ac",,,"07_1076"
"True","False","False","False","False",,"Cool Pac water","True","False","False","False","False",,"Cool Pac water","uuid:4869ad14-4f98-4a62-87e8-178e8310ecdc",,,"07_1077"
"False","True","False","False","False",,"Voltic  water","True","False","False","False","False",,"Cool Pac and century water","uuid:8a9cb988-9e26-4c9b-be46-633c061988f2",,,"07_1078"
"True","False","False","False","False",,"Special Ice water","True","False","False","False","False",,"Special Ice water","uuid:307d793a-2bfd-49da-9b6f-6fa9f552003d",,,"07_1079"
"True","False","False","False","False",,"Cool Pac, Nayas and Vivita mineral water","True","False","False","False","False",,"Cool Pac, Nayas and Vivita mineral water","uuid:ed165a12-7bcd-4092-9172-dea4d23d379e",,,"07_1080"
"True","False","False","False","False",,"Special mineral water","True","False","False","False","False",,"Special mineral water","uuid:8d173ce5-d4c1-4b95-893b-b11c26a45364",,,"07_1081"
"True","False","False","False","False",,"Vivita and Camelot mineral water","True","False","False","False","False",,"Vivita and Camelot mineral water","uuid:f6c52ffb-4c55-4d7e-89c1-c9c9cd47d09d",,,"07_1082"
"True","False","False","False","False",,"Cool Pac and Ahenfo mineral water","True","False","False","False","False",,"Cool Pac and Ahenfo mineral water","uuid:0297ff38-8485-4d62-9363-b9196b695a19",,,"07_1083"
"True","False","False","False","False",,"Cool Pac Water","True","False","False","False","False",,"Cool Pac Water","uuid:d269c6ee-fd69-48f0-bc75-c662f67b8d57",,,"07_1084"
"True","False","False","False","False",,"Sparks Mineral Water","True","False","False","False","False",,"Sparks Mineral water","uuid:b7d5da56-1ca2-4166-b432-3b6217d692c9",,,"07_1085"
"False","False","False","False","True",,"Drinks municipal water normally and sachet water at times ","False","False","False","False","True",,"Mainly drinks municipal water ","uuid:fc5e12e1-1ff3-4e29-8dd5-847113d153e9",,,"07_1086"
"True","False","False","False","False",,"Cool","False","True","False","False","False",,"Voltic","uuid:f442d014-0c2a-4085-86b5-9b9ada79a48a",,,"07_1087"
"False","False","False","False","True",,"Drinks municipal water ","False","False","False","False","True",,"Drinks municipal water ","uuid:f54cc616-0c27-46bc-9710-a3997f2814c8",,,"07_1088"
"False","False","False","False","True",,"Drinks municipal water ","False","False","False","False","True",,"Drinks municipal water ","uuid:24dd2a53-d6f7-4bc5-b280-22d532e0931b",,,"07_1089"
"True","False","False","False","False",,"Spark and century ","True","False","False","False","False",,"Spark and century ","uuid:a6054db4-58a9-4276-a4d6-c3c08edb7ed3",,,"07_1090"
