"number","formid","form.drain_replicate","form.ec_sd","form.ec_st","form.ec_isd","form.ec_ist","form.ec_ied","form.ec_iet","form.dilution_error_1","form.dilution_error_2","form.ec_blank","username","received_on","caseid","case_name","lab_UID"
48,"709a76f2-44b0-445b-9208-efcbd4bf4697",,"2016-06-07","14:00:00.000Z","2016-06-07","15:00:00.000Z","2016-06-08","15:00:00.000Z",,,0,"ayeboah","2016-06-09 13:52:34",,,"03_03_0262"
50,"7ea68056-2f3c-4fc7-a347-aecdfd8ed0ec","N","2016-06-13","14:30:00.000Z","2016-06-13","17:30:00.000Z","2016-06-14","15:00:00.000Z",,,0,"laadomako","2016-06-15 14:45:39",,,"03_01_0277"
51,"808676cb-e714-4f41-8431-b4183895691b",,"2016-06-24","13:00:00.000Z","2016-06-24","14:00:00.000Z","2016-06-25","14:00:00.000Z",,,0,"sborbor","2016-06-28 12:13:09",,,"03_03_0414"
52,"83ed2ef0-20aa-4036-85c8-a599e7732c75",,"2016-06-20","13:30:00.000Z","2016-06-20","15:00:00.000Z","2016-06-21","15:00:00.000Z",,,0,"sborbor","2016-06-23 12:45:18",,,"03_07_0353"
53,"83d499c5-fbb9-4aaa-8dc0-e8f6df41b31a","N","2016-05-12","13:00:00.000Z","2016-05-12","14:00:00.000Z","2016-05-13","14:00:00.000Z",,,0,"laadomako","2016-05-13 15:05:04",,,"03_01_0213"
54,"835a94df-faa7-4caf-84dc-cc3851da82f1",,"2016-07-08","13:30:00.000Z","2016-07-08","15:00:00.000Z","2016-07-09","14:00:00.000Z",,,0,"ayeboah","2016-07-09 16:32:52",,,"03_07_0544"
55,"6fec7a77-27d2-4152-8805-0a59e8fc6366",,"2016-03-31","13:00:00.000Z","2016-03-31","15:00:00.000Z","2016-04-01","15:00:00.000Z",,,0,"sborbor","2016-05-17 14:52:23",,,"03_07_0819"
56,"79034d9a-b7d1-4db3-ae80-48ce94a86417",,"2016-05-09","12:00:00.000Z","2016-05-09","14:00:00.000Z","2016-05-10","14:00:00.000Z",,,0,"ayeboah","2016-05-10 19:20:41",,,"03_08_0139"
57,"78f9a8cc-2efa-4fb1-9e9a-0b0ec70419b2",,"2016-03-29","12:30:00.000Z","2016-03-29","15:00:00.000Z","2016-03-30","14:30:00.000Z",,,0,"test","2016-04-01 10:06:30",,,"03_04_0843"
58,"65324482-3788-49fb-80dd-2e2de72b7999",,"2016-03-31","13:00:00.000Z","2016-03-31","15:00:00.000Z","2016-04-01","15:00:00.000Z",,,0,"sborbor","2016-05-17 11:24:19",,,"03_07_0890"
60,"69f89ee2-4e9f-4a51-bb66-0904876024d3",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:22:37",,,"03_07_0364"
61,"6b0fead5-7e08-4dc1-9062-9c3dfc47a2e1",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 08:00:22",,,"03_07_0575"
62,"6d623b61-b194-476b-beee-9579b5f85a58",,"2016-03-23","12:00:00.000Z","2016-03-23","12:00:00.000Z","2016-03-24","14:00:00.000Z",,,0,"test","2016-03-24 16:15:38",,,"03_02_0826"
63,"6d4243bb-9ed4-4327-8f38-e4f5dd40f90f",,"2016-05-09","12:00:00.000Z","2016-05-09","14:00:00.000Z","2016-05-10","14:00:00.000Z",,,0,"ayeboah","2016-05-10 19:15:08",,,"03_08_0171"
64,"62d5ed40-112a-40fa-aa11-a7b9ea3ac9ae",,"2016-06-20","13:20:00.000Z","2016-06-20","15:00:00.000Z","2016-06-21","15:00:00.000Z",,,0,"sborbor","2016-06-23 12:29:25",,,"03_07_0381"
65,"6340a418-be26-47e9-88e8-ea291e7e90c2","N","2016-06-13","14:30:00.000Z","2016-06-13","17:30:00.000Z","2016-06-14","15:00:00.000Z",,,0,"laadomako","2016-06-15 14:56:09",,,"03_01_0279"
