"h_bw_source","h_bw_source_other","h_bw_source_na","meta.instanceID","X_tags","X_notes","h_UID"
3,,,"uuid:f7a56427-c8a6-4e4b-8667-cd1d583842bb",,,"13_1252"
2,,,"uuid:7663dae1-9ce7-42d4-a867-837861300f47",,,"13_1253"
2,,,"uuid:d6a4a71d-0b34-4332-a432-91f1889f974e",,,"13_1254"
2,,,"uuid:3a0f92d1-1a96-4918-bce5-5c6c3b3f49d6",,,"13_1255"
1,,,"uuid:c5ee57cd-e913-4673-b057-cb55c45ccfe8",,,"13_1256"
1,,,"uuid:665ea3e9-bf15-4e71-be32-95d40e0d9495",,,"13_1257"
2,,,"uuid:a64dc62c-f640-4692-b9d4-ee426ff880df",,,"13_1258"
1,,,"uuid:c2a892d4-0cd5-4dc5-af01-7cf908571a1c",,,"13_1259"
1,,,"uuid:d9feee57-7152-46ae-8a1b-1a2b6df9456c",,,"13_1260"
1,,,"uuid:cc2456a0-9cc9-4114-bb0f-560537ba2987",,,"13_1261"
3,,,"uuid:aa821707-9be6-416a-9159-c44805bc646a",,,"13_1262"
1,,,"uuid:5622206d-89b9-4193-9b3c-20585c4ed52e",,,"13_1263"
2,,,"uuid:8ffb34ab-2fc9-4890-9a7d-9544e8fc1a1c",,,"13_1264"
3,,,"uuid:ca6fb4a5-3c88-4310-a41a-85cc1ba8a992",,,"13_1265"
1,,,"uuid:a2cc693a-71a7-454e-9287-675041f2a855",,,"13_1266"
1,,,"uuid:5fe50912-a73e-428f-9a98-6d38080e8b47",,,"13_1267"
1,,,"uuid:07407b80-391e-4d03-8424-1a7737840621",,,"13_1268"
1,,,"uuid:08939b79-9c61-4726-a3e4-ae34dfa113e5",,,"13_1269"
1,,,"uuid:61ce28e6-c2ad-4f09-b13a-3e74e0727bcd",,,"13_1270"
2,,,"uuid:eb20a4e1-1b49-4686-b908-b61f4afcbc8a",,,"13_1271"
1,,,"uuid:182a6d7a-9f1b-4731-844a-0bdc1afef781",,,"13_1272"
1,,,"uuid:8c59213b-fe0d-4a19-bc23-6caedb6674fe",,,"13_1273"
1,,,"uuid:49524419-4883-42cb-ab80-e6a2578aad66",,,"13_1274"
1,,,"uuid:45676156-1079-49c3-8d0b-4bad2a58baaf",,,"13_1275"
1,,,"uuid:f28b190c-5503-4a86-a000-ff6eb3b341ec",,,"13_1276"
1,,,"uuid:1a5de2cd-bbd7-4771-a924-4f9bed5451a3",,,"13_1277"
1,,,"uuid:0b671258-3c58-4bf4-bf3f-61fba0013df0",,,"13_1278"
1,,,"uuid:7641be5a-baab-4a41-818b-47979409bb88",,,"13_1279"
1,,,"uuid:85fa0c29-d4e3-48c6-bafe-47e4570b8ad2",,,"13_1280"
1,,,"uuid:996c340f-953e-42f2-b1aa-92b505c09826",,,"13_1281"
2,,,"uuid:6320a5a1-8f7a-4176-976e-6024b7cc4eae",,,"13_1282"
1,,,"uuid:a9a9d7ca-c496-49e9-b9b7-1b3dc4a9daf5",,,"13_1283"
1,,,"uuid:ab756539-b516-464e-9fe7-3708f6b31424",,,"13_1284"
1,,,"uuid:9f1836e9-44b1-4fe3-9587-7af053483eba",,,"13_1285"
1,,,"uuid:c62c40e2-2908-44ca-bcbe-8f27f774d53b",,,"13_1286"
1,,,"uuid:ece81aab-d097-4c93-9748-ea9610885d42",,,"13_1287"
1,,,"uuid:65d5fc8e-27e1-48e8-979f-e19984558a4e",,,"13_1288"
1,,,"uuid:d0fd03d1-bab4-43ba-8917-66b00c83d9b7",,,"13_1289"
1,,,"uuid:9d7c52db-2307-4a29-a7d0-45e39673ec82",,,"13_1290"
1,,,"uuid:1c351820-ee73-4486-bc2a-95fc3e2b189f",,,"13_1291"
2,,,"uuid:2fc1a468-ca65-473d-8d5d-5fc18f87d108",,,"13_1292"
1,,,"uuid:ba58b39b-d363-4b00-9d4b-cb8068e860b6",,,"13_1293"
1,,,"uuid:ba95038e-4a71-48cd-b0ef-d57eef6c873e",,,"13_1294"
1,,,"uuid:ee546c05-c2a6-47ca-b747-d48ba1c59e54",,,"13_1295"
1,,,"uuid:e66fae7d-b5c7-4092-9921-01cc13b20ede",,,"13_1296"
1,,,"uuid:7598e4b0-6b62-41c7-8815-dd36158a45f5",,,"13_1297"
1,,,"uuid:e23e8f18-57c5-44ca-87dc-6569027ad90d",,,"13_1298"
1,,,"uuid:138a2ca4-aa3e-46f5-a346-8961878b613d",,,"13_1299"
