"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","lab_analysis","dply_num","lab_UID","lab_date"
"2020-01-13T08:20:51.000-00:00",99,6034,6034,"2019-12-11T09:59:00.000-00:00","2019-12-11T10:05:00.000-00:00","2019-12-12T08:30:00.000-00:00",,,,7,1,3,1,6,1,3,0,0,,,,,,"KB",1,"2020-01-13T08:22:10.000-00:00","uuid:2565a44e-d718-424f-a6c4-0758d70465eb","2565a44e-d718-424f-a6c4-0758d70465eb","2020-01-13T08:22:17",,,2,12,"12_99_6034",2019-12-11
"2020-01-13T08:22:10.000-00:00",99,6035,6035,"2019-12-11T10:02:00.000-00:00","2019-12-11T10:05:00.000-00:00","2019-12-12T10:05:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T08:28:54.000-00:00","uuid:edaa589b-c600-4211-b987-734d87882e0e","edaa589b-c600-4211-b987-734d87882e0e","2020-01-13T08:30:44",,,2,12,"12_99_6035",2019-12-11
"2020-01-13T08:28:54.000-00:00",99,6036,6036,"2019-12-12T10:10:00.000-00:00","2019-12-12T10:30:00.000-00:00","2019-12-13T10:20:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-13T08:30:37.000-00:00","uuid:40e41446-06f8-4860-8404-68d06a4762fa","40e41446-06f8-4860-8404-68d06a4762fa","2020-01-13T08:30:45",,,2,12,"12_99_6036",2019-12-12
"2020-01-13T08:30:37.000-00:00",99,6037,6037,"2019-12-12T10:10:00.000-00:00","2019-12-12T10:30:00.000-00:00","2019-12-13T10:20:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-13T08:31:41.000-00:00","uuid:f19a4efd-1b04-4022-ae95-c93bed62d9be","f19a4efd-1b04-4022-ae95-c93bed62d9be","2020-01-13T08:31:47",,,2,12,"12_99_6037",2019-12-12
"2020-01-13T08:31:42.000-00:00",99,6038,6038,"2019-12-12T10:10:00.000-00:00","2019-12-12T10:30:00.000-00:00","2019-12-13T10:20:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-13T08:32:54.000-00:00","uuid:b145ae67-db7f-4a70-9f7c-257d771a407b","b145ae67-db7f-4a70-9f7c-257d771a407b","2020-01-13T08:33:00",,,2,12,"12_99_6038",2019-12-12
"2020-01-13T08:32:54.000-00:00",99,6039,6039,"2019-12-12T10:10:00.000-00:00","2019-12-12T10:30:00.000-00:00","2019-12-13T10:20:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-13T08:34:39.000-00:00","uuid:f31a1914-6bd5-4fcc-9059-88421bab6f1e","f31a1914-6bd5-4fcc-9059-88421bab6f1e","2020-01-13T08:34:48",,,2,12,"12_99_6039",2019-12-12
"2020-01-13T08:34:40.000-00:00",99,6040,6040,"2019-12-12T10:10:00.000-00:00","2019-12-12T10:30:00.000-00:00","2019-12-13T10:20:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-13T08:36:05.000-00:00","uuid:49d896bc-44ba-4b07-beca-87b2e0f2f2ce","49d896bc-44ba-4b07-beca-87b2e0f2f2ce","2020-01-13T08:36:12",,,2,12,"12_99_6040",2019-12-12
"2020-01-13T16:13:22.000-00:00",99,6041,6041,"2019-12-17T16:47:00.000-00:00","2019-12-17T17:00:00.000-00:00","2019-12-18T14:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"K B",0,"2020-01-13T16:15:18.000-00:00","uuid:8f05ec5d-f437-4de1-b1c8-4c803900d5b2","8f05ec5d-f437-4de1-b1c8-4c803900d5b2","2020-01-13T16:15:26",,,2,12,"12_99_6041",2019-12-17
"2020-01-13T16:15:18.000-00:00",99,6042,6042,"2019-12-17T16:50:00.000-00:00","2019-12-17T17:00:00.000-00:00","2019-12-18T14:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:16:20.000-00:00","uuid:7f9e55a1-477a-4972-92f8-a82286d4084b","7f9e55a1-477a-4972-92f8-a82286d4084b","2020-01-13T16:16:27",,,2,12,"12_99_6042",2019-12-17
"2020-01-13T16:16:20.000-00:00",99,6043,6043,"2019-12-17T16:53:00.000-00:00","2019-12-17T17:00:00.000-00:00","2019-12-18T14:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-27T12:36:25.000-00:00","uuid:5e52daf3-9510-470b-a7a6-2e60331ba8c8","5e52daf3-9510-470b-a7a6-2e60331ba8c8","2020-01-13T16:18:43",,,2,12,"12_99_6043",2019-12-17
"2020-01-13T16:18:36.000-00:00",99,6044,6044,"2019-12-17T16:56:00.000-00:00","2019-12-17T17:00:00.000-00:00","2019-12-18T14:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:19:42.000-00:00","uuid:15da339e-107f-48c0-b2bc-62fd7d880baf","15da339e-107f-48c0-b2bc-62fd7d880baf","2020-01-13T16:19:50",,,2,12,"12_99_6044",2019-12-17
"2020-01-13T16:19:42.000-00:00",99,6045,6045,"2019-12-19T08:49:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:21:23.000-00:00","uuid:d585d616-ab50-4c43-b5fc-2e81e40d495b","d585d616-ab50-4c43-b5fc-2e81e40d495b","2020-01-13T16:21:31",,,2,12,"12_99_6045",2019-12-19
"2020-01-13T16:21:23.000-00:00",99,6046,6046,"2019-12-19T08:53:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:22:53.000-00:00","uuid:03e8a865-d721-4988-a209-3b2ca738ec63","03e8a865-d721-4988-a209-3b2ca738ec63","2020-01-13T16:23:01",,,2,12,"12_99_6046",2019-12-19
"2020-01-13T16:22:53.000-00:00",99,6047,6047,"2019-12-19T08:55:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:24:46.000-00:00","uuid:2af3d547-68f6-4f2c-a790-1e86f39ab9db","2af3d547-68f6-4f2c-a790-1e86f39ab9db","2020-01-13T16:24:53",,,2,12,"12_99_6047",2019-12-19
"2020-01-13T16:24:46.000-00:00",99,6048,6048,"2019-12-19T08:58:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:26:10.000-00:00","uuid:91ca1302-eff3-4bf8-be12-06b4d959a5dc","91ca1302-eff3-4bf8-be12-06b4d959a5dc","2020-01-13T16:26:17",,,2,12,"12_99_6048",2019-12-19
"2020-01-13T16:26:10.000-00:00",99,6048,6048,"2019-12-19T08:58:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,8,6,1,3,1,0,,,,,,"KB",1,"2020-01-13T16:28:43.000-00:00","uuid:f15a3dad-235f-45b5-b70b-6f4910c243fb","f15a3dad-235f-45b5-b70b-6f4910c243fb","2020-01-13T16:28:50",,,2,12,"12_99_6048",2019-12-19
"2020-01-13T16:28:43.000-00:00",99,6049,6049,"2019-12-19T09:01:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:30:06.000-00:00","uuid:d9562b2a-6ec9-472b-a75b-4c7e5300a159","d9562b2a-6ec9-472b-a75b-4c7e5300a159","2020-01-13T16:30:14",,,2,12,"12_99_6049",2019-12-19
"2020-01-13T16:30:07.000-00:00",99,6050,6050,"2019-12-19T09:04:00.000-00:00","2019-12-19T09:05:00.000-00:00","2019-12-20T08:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-01-13T16:31:08.000-00:00","uuid:029d19fb-e772-4b0f-936f-ca55b9b9565f","029d19fb-e772-4b0f-936f-ca55b9b9565f","2020-01-13T16:31:16",,,2,12,"12_99_6050",2019-12-19
"2020-02-05T09:16:02.000-00:00",99,6001,6001,"2020-01-21T15:40:00.000-00:00","2020-01-21T16:00:00.000-00:00","2020-01-22T16:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:44:02.000-00:00","uuid:8f021d07-162c-4bd4-b4f0-18fd2771a2c1","8f021d07-162c-4bd4-b4f0-18fd2771a2c1","2020-02-05T10:44:10",,,2,12,"12_99_6001",2020-01-21
"2020-02-05T10:44:02.000-00:00",99,6006,6006,"2020-01-21T15:40:00.000-00:00","2020-01-21T16:00:00.000-00:00","2020-01-22T16:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:45:25.000-00:00","uuid:6567d6db-dc7d-4c23-bb01-bfa80a648d9a","6567d6db-dc7d-4c23-bb01-bfa80a648d9a","2020-02-05T10:45:33",,,2,12,"12_99_6006",2020-01-21
"2020-02-05T10:45:25.000-00:00",99,6010,6010,"2020-01-21T15:40:00.000-00:00","2020-01-21T16:00:00.000-00:00","2020-01-22T16:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:47:39.000-00:00","uuid:817c0a6f-31f3-48e5-9722-625fb7abf515","817c0a6f-31f3-48e5-9722-625fb7abf515","2020-02-05T10:47:46",,,2,12,"12_99_6010",2020-01-21
"2020-02-05T10:47:39.000-00:00",99,6015,6015,"2020-01-21T09:30:00.000-00:00","2020-01-21T10:00:00.000-00:00","2020-01-22T09:40:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:49:31.000-00:00","uuid:15dcd818-9fa7-41e2-86bc-74c88641b8ce","15dcd818-9fa7-41e2-86bc-74c88641b8ce","2020-02-05T10:49:39",,,2,12,"12_99_6015",2020-01-21
"2020-02-05T10:49:31.000-00:00",99,6017,6017,"2020-01-21T09:30:00.000-00:00","2020-01-21T10:00:00.000-00:00","2020-01-22T09:40:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:50:55.000-00:00","uuid:877e5376-6737-4ce9-b921-d68e6d587c23","877e5376-6737-4ce9-b921-d68e6d587c23","2020-02-05T10:51:02",,,2,12,"12_99_6017",2020-01-21
"2020-02-05T10:50:55.000-00:00",99,6019,6019,"2020-01-21T09:30:00.000-00:00","2020-01-21T10:00:00.000-00:00","2020-01-22T09:40:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:52:16.000-00:00","uuid:c7a38280-8a67-440c-8f4b-0fa81de06fcf","c7a38280-8a67-440c-8f4b-0fa81de06fcf","2020-02-05T10:52:23",,,2,12,"12_99_6019",2020-01-21
"2020-02-05T10:52:16.000-00:00",99,6020,6020,"2020-01-21T09:30:00.000-00:00","2020-01-21T10:00:00.000-00:00","2020-01-22T09:40:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2020-02-05T10:53:39.000-00:00","uuid:4cb4a496-11f6-4502-a976-105148a6bdb7","4cb4a496-11f6-4502-a976-105148a6bdb7","2020-02-05T10:53:47",,,2,12,"12_99_6020",2020-01-21
