SampleID,CompoundID,ec_dd,ec_th,ev_lat,ev_long,ev_way,neighbor,dis_lat,ev_notes,source_bw,source_other,stored,covered,ec_sd,ec_st,ec_isd,ec_ist,ec_ied,ec_iet,ec_dil1,ec_dil2,ec_dil3,ec_ecnt1,ec_ecnt2,ec_ecnt3,tc_ecnt1,tc_ecnt2,tc_ecnt3,ec_blank,tc_blank,collectr,sp_type,sp_area,dis_com,weight,feces_3m,lat_type,lat_other,n_stall,Vis_fec,HW_stat,ev_way,operator
DCO3031,3031,3/11/2015,10:10:00 AM,25.9434,32.57974,007-30,2,3,,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,4,5,6,0,0,0,0,0,0,0,0,GISELA-ELOISA,2,0,,,,,,,,,007.30,LAURINDA MACUCULE
DCO3033,3033,3/24/2015,9:15:00 AM,25.94152,32.58831,169-31,2,3.1,,,,,,3/24/2015,12:02:00 PM,3/24/2015,3:50:00 PM,3/25/2015,3:50:00 PM,2,3,4,999,999,999,999,999,999,0,0,ELOISSA-GISELA,2,0,,,,,,,,,169.31,MARIO AMOS
DCO3037,3037,3/12/2015,8:55:00 AM,25.94513,32.57913,011-29,2,1,,,,,,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,4,5,6,999,33,9,999,999,127,0,0,,2,0,,,,,,,,,011.29,MARIO AMOS
DPO3001,3001,3/11/2015,10:30:00 AM,25.94446,32.57907,010-29,2,,Sample collected from the big drain in public road in Acordos de Lusaka Avenue,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,4,5,6,999,0,0,999,0,0,0,0,BACELAR/AMADEU,2,1,5.7,,,,,,,,010-29,LAURINDA MACUCULE
DPO3037,3037,3/12/2015,9:29:00 AM,25.94512,32.57904,013-29,2,,sample collected from the public drainage in Acordos de Lusaka Avenue. The colonies in the 1.100 000 dilution were very pallid.,,,,,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,4,5,6,0,0,0,999,999,999,0,0,ANABELA/BACELAR,2,1,7.4,,,,,,,,013.29,MARIO AMOS
SCA2029,2029,5/12/2015,10:41:00 AM,25.94407,32.56058,026-29,1,1,,,,,,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,3,4,,0,0,,74,31,,0,0,AMADEU/GIZELA,4,0,,31.47,,,,,,,026-29,MARCIO AMOS
SCA2030,2030,3/26/2015,9:31:00 AM,25.94715,32.55198,014-32,1,1,,,,,,3/26/2015,12:15:00 PM,3/26/2015,5:00:00 PM,3/27/2015,5:00:00 PM,2,3,4,999,999,999,999,999,999,0,0,ELOISA-GISELA,4,0,,23.15,,,,,,,014.32,MARIA
SCA2031,2031,3/3/2015,9:21:00 AM,25.94365,32.55762,002-32,1,1,,,,,,3/3/2015,4:00:00 PM,3/3/2015,5:08:00 PM,3/4/2015,5:08:00 PM,3,4,,0,0,,999,999,,0,0,ANABELA/BACELAR,4,0,,19.33,,,,,,,002-32,MARIA ISABEL
SCA2032,2032,3/3/2015,9:54:00 AM,25.94365,32.55764,001-32,1,1,The dilution 1:10 presented with a very high number of sedimentation.,,,,,3/3/2015,3:05:00 PM,3/3/2015,3:30:00 PM,3/4/2015,3:32:00 PM,3,4,,10,0,,999,999,,0,0,ELAISA/GISELA,4,0,,32.04,,,,,,,001.32,MARIO AMOS
SCA2034,2034,3/5/2015,9:25:00 AM,25.94376,32.55799,163-31,1,1,,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,3,4,,0,0,,998,999,,0,0,ANABELA/BACELAR,4,0,,30.89,,,,,,,163.31,LAURINDA MACUCULE
SCA2035,2035,3/5/2015,9:23:00 AM,25.94497,32.55382,004-32,1,1,,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,3,4,,0,0,,999,999,,0,0,GISELA-ELAISA-AMADEU,4,0,,20.7,,,,,,,004.32,LAURINDA MACUCULE
SCA2036,2036,3/6/2015,10:06:00 AM,25.96199,32.58968,001-30,1,1,,,,,,3/6/2015,12:15:00 PM,3/6/2015,4:50:00 PM,3/7/2015,5:00:00 PM,3,4,,0,0,,998,999,,0,0,ELAISA-GISELA-AMADEU,4,0,,24.22,,,,,,,001.30,MARIO AMOS
SCA2037,2037,3/9/2015,9:46:00 AM,25.93127,32.5613,164-31,1,1,SAMPLE TAKEN FROM RECENT AND PROVISIONAL BATHROOM.,,,,,3/9/2015,12:00:00 AM,3/9/2015,4:03:00 PM,3/10/2015,4:08:00 PM,3,4,,0,0,,999,37,,0,0,ANABELA/BACELAR,4,0,,14.82,,,,,,,164-31,MARIO AMOS
SCA2038,2038,3/6/2015,9:13:00 AM,25.93534,32.56261,003-29,1,1,Sample collected from excavated sand for constrution of septic tank.,,,,,3/6/2015,12:15:00 PM,3/6/2015,4:50:00 PM,3/7/2015,5:00:00 PM,3,4,,0,0,,998,998,,0,0,BACELAR/ANABELA,4,0,,21.06,,,,,,,003.29,MARIO AMOS
SCA2039,2039,3/9/2015,10:25:00 AM,25.94919,32.55866,004-30,1,1,,,,,,3/9/2015,12:00:00 AM,3/9/2015,4:03:00 PM,3/10/2015,4:08:00 PM,3,4,,0,0,,999,0,,0,0,GISELA/ELAISA,4,0,,21.33,,,,,,,004.30,SALMA XAVIER
SCA2040,2040,3/10/2015,8:59:00 AM,25.93496,32.56271,005-29,1,1,Clear colonies developed,,,,,3/10/2015,2:00:00 PM,3/10/2015,4:20:00 PM,3/11/2015,4:20:00 PM,4,4,,0,0,,69,25,,0,0,ANABELA/BACELAR,4,0,,13.18,,,,,,,005.29,MARIA ISABEL
SCA2042,2042,3/25/2015,9:32:00 AM,25.94633,32.55552,022-29,1,1,,,,,,3/25/2015,12:10:00 PM,3/25/2015,4:20:00 PM,3/26/2015,4:20:00 PM,3,4,,0,0,,999,999,,0,0,AMADEU/ANABELA,4,0,,15.27,,,,,,,022.29,SALMA XAVIER
SCA2043,2043,3/25/2015,9:22:00 AM,25.94526,32.55675,012-32,1,1,,,,,,3/25/2015,12:10:00 PM,3/25/2015,4:20:00 PM,3/26/2015,4:20:00 PM,3,4,,999,999,,999,999,,0,0,GISELA-ELOISA,4,0,,21.15,,,,,,,012.32,SALMA XAVIER
SCA3001,3001,3/11/2015,10:25:00 AM,25.94457,32.57943,008-29,2,1,,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,3,4,5,999,999,999,998,999,999,0,0,ANABELA/AMADEU,4,0,,15.63,,,,,,,008.29,LAURINDA MACUCULE
SCA3006,3006,3/12/2015,9:25:00 AM,25.9439,32.58358,010-30,2,1,,,,,,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,3,4,,999,999,,999,999,,0,0,AMADEU,4,0,,23.81,,,,,,,010.30,MARIO AMOS
SCA3030,3030,3/13/2015,9:32:00 AM,25.94331,32.5812,014-29,2,1,,,,,,3/13/2015,1:20:00 PM,3/13/2015,3:40:00 PM,3/14/2015,3:40:00 PM,2,3,4,998,998,110,998,998,130,0,0,ANABELA/BACELAR,4,0,,15.43,,,,,,,014-29,SALMA XAVIER
SCA3031,3031,3/11/2015,10:20:00 AM,25.9434,32.57974,007-30,2,1,,,,,,3/11/2015,1:30:00 PM,3/11/2015,4:00:00 PM,3/12/2015,4:00:00 PM,3,4,,999,999,,999,25,,0,0,ELAISA-GISELA,4,0,,15.85,,,,,,,007.30,LAURINDA MACUCULE
SCA3032,3032,3/18/2015,10:42:00 AM,25.9448,32.5834,008-32,2,1,,,,,,3/18/2015,1:03:00 PM,3/18/2015,4:20:00 PM,3/19/2015,4:20:00 PM,2,3,4,17,8,0,998,75,23,0,23,ELOISA,4,0,,17.73,,,,,,,008.32,SALMA XAVIER
SCA3033,3033,3/24/2015,9:08:00 AM,25.94152,32.58831,169-31,2,1,,,,,,3/24/2015,12:02:00 PM,3/24/2015,3:50:00 PM,3/25/2015,3:50:00 PM,2,3,4,30,7,0,999,999,999,0,0,AMADEU,4,0,,15.79,,,,,,,169.31,MARIO AMOS
SCA3034,3034,3/13/2015,9:35:00 AM,25.94316,32.58126,012-30,2,1,,,,,,3/13/2015,11:56:00 AM,3/13/2015,3:40:00 PM,3/14/2015,3:40:00 PM,2,3,4,16,8,0,999,999,999,0,0,AMADEU,4,0,,25.96,,,,,,,012.30,SALMA XAVIER
SCA3036,3036,3/18/2015,11:12:00 AM,25.94175,32.58841,166-31,2,1,,,,,,3/18/2015,1:03:00 PM,3/18/2015,4:20:00 PM,3/19/2015,4:20:00 PM,2,3,4,0,0,0,998,999,999,0,0,AMADEU,4,0,,21.52,,,,,,,166.31,SALMA XAVIER
SCA3037,3037,3/12/2015,8:48:00 AM,25.94513,32.57913,011-29,2,1,,,,,,3/12/2015,11:50:00 AM,3/12/2015,3:25:00 PM,3/13/2015,3:35:00 PM,3,4,,998,0,,998,30,,0,0,ANABELA/BACELAR,4,0,,15.82,,,,,,,011.29,MARIO AMOS
SCA3039,3039,3/24/2015,8:51:00 AM,25.9415,32.58816,167-31,2,1,,,,,,3/24/2015,12:02:00 PM,3/24/2015,3:50:00 PM,3/25/2015,3:50:00 PM,2,3,4,0,0,0,999,999,999,0,999,AMADEU/ANABELA,4,0,,18.34,,,,,,,167.31,MARIO AMOS
SCB2029,2029,5/12/2015,10:46:00 AM,25.94407,32.56058,026-29,1,3,,,,,,5/12/2015,12:10:00 PM,5/12/2015,3:40:00 PM,5/13/2015,3:40:00 PM,3,4,,0,0,,999,97,,0,0,AMADEU/GIZELA,4,0,,23.83,,,,,,,026-29,MARCIO AMOS
SCB2030,2030,3/26/2015,9:34:00 AM,25.94715,32.55198,014-32,1,3,,,,,,3/26/2015,12:15:00 PM,3/26/2015,5:00:00 PM,3/27/2015,5:00:00 PM,2,3,4,999,999,999,999,999,999,0,0,ELOISA GISELA,4,0,,21.11,,,,,,,014.32,MARIA
SCB2031,2031,3/3/2015,9:45:00 AM,25.94365,32.55762,002-32,1,3,,,,,,3/3/2015,4:00:00 PM,3/3/2015,5:08:00 PM,3/4/2015,5:08:00 PM,3,4,,0,0,,999,999,,0,0,ANABELA/BACELAR,4,0,,21.13,,,,,,,002-32,MARIA ISABEL
SCB2032,2032,3/3/2015,9:59:00 AM,25.94365,32.55764,001-32,1,3,,,,,,3/3/2015,3:05:00 PM,3/3/2015,1/0/1900  4:30:00 PM,3/4/2015,4:42:00 PM,2,3,,998,998,,998,998,,0,0,ELAISA/GISELA,4,0,,27.15,,,,,,,001.32,MARIO AMOS
SCB2034,2034,3/5/2015,10:06:00 AM,25.94376,32.55799,163-31,1,3,,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,3,4,,0,0,,998,999,,0,0,ANABELA/BACELAR,4,0,,21.47,,,,,,,163.31,LAURINDA MACUCULE
SCB2035,2035,3/5/2015,9:27:00 AM,25.94497,32.55382,004-32,1,3,,,,,,3/5/2015,11:45:00 AM,3/5/2015,4:20:00 PM,3/6/2015,4:20:00 PM,3,4,,0,0,,999,998,,0,0,GISELA-ELAISA-AMADEU,4,0,,23.5,,,,,,,004.32,LAURINDA MACUCULE
