HouseholdID,CompoundID,MapSanHHID,dd,th,neighbor,lat,long,hh_q1,A_od,C_od,A_cf_rs,C_cf_rs,has_l,A_use_l,C_use_l,hh_q9,no_la_a,no_la_b,no_la_c,no_la_d,no_la_e,collectr,group
108,2039,3,3/9/2015,11:40:00 AM,1,25.94919,32.55866,,4,4,1,1,,5,2,,0,1,0,0,0,Gizela Brito,1
109,2030,4,3/4/2015,9:29:00 AM,1,25.94717,32.55197,,4,4,3,2,,3,3,,0,0,1,0,0,Eloisa Mula,1
110,3034,4,3/13/2015,9:45:00 AM,2,25.94316,32.58126,,4,4,5,1,1,5,2,,0,0,1,0,0,Eloisa Mula,1
111,2040,5,3/10/2015,10:01:00 AM,1,25.93496,32.56271,,5,4,5,3,,5,1,,0,1,0,0,0,Bacelar,1
112,3006,5,3/12/2015,9:30:00 AM,2,25.9439,32.58358,,5,4,2,3,1,5,3,,0,1,1,0,0,Eloisa Mula,1
113,2039,5,3/9/2015,10:32:00 AM,1,25.94919,32.55866,,4,4,2,1,,5,2,,0,0,1,0,0,Eloisa Mula,1
114,2038,6,3/6/2015,10:15:00 AM,1,25.93534,32.56261,,5,4,5,1,,2,1,,0,0,1,0,0,Anabela,1
115,2031,7,3/3/2015,10:10:00 AM,1,25.94365,32.55762,,1,1,1,1,,2,3,,0,0,1,0,0,Eloisa Mula,1
116,2032,3,3/2/2015,10:47:00 AM,1,25.94365,32.55764,,5,4,5,2,,1,1,,0,1,0,0,0,Anabela,1
117,3001,8,3/11/2015,11:07:00 AM,2,25.94457,32.57943,,5,1,1,1,1,1,1,,0,1,1,0,0,Anabela,1
118,3001,15,3/11/2015,11:13:00 AM,2,25.94457,32.57943,,4,1,5,1,1,1,1,,0,1,1,0,0,Anabela,1
119,2034,1,3/5/2015,10:42:00 AM,1,25.94376,32.55799,,5,4,5,2,,5,1,,0,0,1,0,0,Anabela,1
120,3037,2,3/21/2015,10:15:00 AM,2,25.94513,32.57913,,2,4,5,1,1,2,2,,0,1,0,0,0,Gizela Brito,1
121,3037,2,3/21/2015,10:08:00 AM,2,25.94513,32.57913,,2,4,2,2,1,5,2,,0,1,0,0,0,Gizela Brito,1
122,3032,1,3/16/2015,9:16:00 AM,2,25.9448,32.58339,,5,4,5,3,1,2,2,,0,1,0,0,0,Gizela Brito,1
123,3032,5,3/16/2015,9:23:00 AM,2,25.9448,32.58339,,4,4,5,2,1,2,2,,0,0,1,0,0,Gizela Brito,1
124,3032,9,3/16/2015,10:16:00 AM,2,25.9448,35.58339,,5,4,1,2,1,2,2,,0,0,1,0,0,Eloisa Mula,1
125,3032,5,3/16/2015,9:17:00 AM,2,25.9448,32.58339,,5,4,1,1,1,5,3,,0,1,1,0,0,Eloisa Mula,1
126,3036,4,3/16/2015,10:15:00 AM,2,25.94153,32.58839,,5,4,4,4,1,2,1,,0,1,0,0,0,Anabela,1
127,3036,4,3/16/2015,10:22:00 AM,2,25.94153,32.58839,,5,3,4,4,1,5,1,,0,1,0,0,0,Anabela,1
128,2042,1,3/19/2015,10:27:00 AM,1,25.94632,32.55551,,5,2,5,1,,2,2,,0,1,0,0,0,Anabela,1
129,2043,3,3/19/2015,9:11:00 AM,1,25.94527,32.55677,,5,4,1,1,,5,2,,0,0,1,0,0,Gizela Brito,1
130,2043,4,3/19/2015,9:36:00 AM,1,25.94527,32.55677,,3,4,1,1,,2,3,,0,0,1,0,0,Gizela Brito,1
131,2043,5,3/19/2015,9:19:00 AM,1,25.94527,32.55677,,4,4,1,2,,5,3,,0,0,1,0,0,Eloisa Mula,1
132,2043,2,3/19/2015,9:39:00 AM,1,25.94527,32.55677,,4,4,3,2,,5,3,,0,0,1,0,0,Eloisa Mula,1
133,2043,1,3/19/2015,9:23:00 AM,1,25.94527,32.55677,,4,3,4,1,,2,1,,0,0,1,0,1,Eloisa Mula,1
134,2043,2,3/19/2015,9:35:00 AM,1,25.94527,32.55677,,5,4,1,1,,5,3,,0,0,1,0,0,Eloisa Mula,1
135,2032,1,3/21/2015,10:40:00 AM,1,25.94365,32.55764,,4,4,1,3,,3,3,,0,1,1,0,0,Amadeu,1
136,2034,4,3/21/2015,9:50:00 AM,1,25.94376,32.55799,,5,4,1,2,,5,2,,0,0,1,0,0,Bacelar,1
137,2041,2,3/21/2015,10:05:00 AM,1,25.95265,32.5597,,5,4,3,3,,3,2,,0,1,1,0,0,Bacelar,1
138,2040,2,3/21/2015,10:20:00 AM,1,25.93496,32.56271,,5,4,2,3,,5,2,,0,1,1,0,0,Bacelar,1
139,2040,2,3/21/2015,10:15:00 AM,1,25.93496,32.56271,,4,4,1,3,,1,1,,0,0,1,0,0,Amadeu,1
140,2040,3,3/21/2015,10:20:00 AM,1,25.93496,32.56271,,4,4,1,3,,3,3,,0,0,1,0,0,Amadeu,1
141,2042,2,3/21/2015,12:18:00 PM,1,25.94632,32.55551,,1,4,1,2,,2,2,,0,0,1,0,0,Amadeu,1
142,3006,5,3/21/2015,11:38:00 AM,2,25.9439,32.58358,,4,4,3,2,1,5,3,,0,1,0,0,0,Gizela Brito,1
143,3031,5,3/21/2015,10:33:00 AM,2,25.9434,32.57974,,5,4,1,1,1,2,3,,0,0,1,0,0,Gizela Brito,1
144,2044,2,5/12/2015,11:24:00 AM,1,25.94189,32.55694,,4,4,4,1,,5,4,,0,0,1,0,1,Eloisa Mula,1
145,2044,3,5/12/2015,11:20:00 AM,1,25.94189,32.55694,,5,4,5,4,,5,4,,0,0,1,0,0,Bacelar,1
