"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Municipal Drinking Water",3,206,"Kamalapur","Adults","a",0.000258096445881277,0.132672556439116,497,1.20250032558832,1.92100011549981,10,0.672,12216923.8850196,12216923.8850197,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 206 Adults","Dhaka 206",0.0789949309542938
"Municipal Drinking Water",3,206,"Kamalapur","Children","c",0.000430347880005351,0.139591961311516,447,1.20250032558832,1.92100011549981,10,0.646,821586.761160613,821586.761160613,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Municipal Drinking Water","Dhaka 206 Children","Dhaka 206",0.0161023893927899
"Floodwater",6,206,"Kamalapur","Adults","a",0.0442774752541539,0.578130010600437,407,5.87555031707818,0.924462442626401,9,0.838,214837.222301971,214837.222301971,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 206 Adults","Dhaka 206",0.00138914277455443
"Floodwater",6,206,"Kamalapur","Children","c",0.040999476050514,0.655059662786277,382,5.87555031707818,0.924462442626401,9,0.893,5219289.50613128,5219289.50613128,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Floodwater","Dhaka 206 Children","Dhaka 206",0.102293556754377
"Public Latrine",7,206,"Kamalapur","Adults","a",0.00896251692208342,0.478147195016916,256,0.784338903109683,1.19899891805541,10,0.888,1627.34038702266,1627.34038702266,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 206 Adults","Dhaka 206",1.05224230519778e-05
"Public Latrine",7,206,"Kamalapur","Children","c",0.00346778201650526,0.341874014289369,231,0.784338903109683,1.19899891805541,10,0.852,14221.7835511356,14221.7835511356,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Public Latrine","Dhaka 206 Children","Dhaka 206",0.0002787346479109
"Raw Produce",2,206,"Kamalapur","Adults","a",0.0671154796082418,0.850206494425955,256,3.44268475507408,2.04138873528472,8,0.903,1368426677.01349,1368426677.01349,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 206 Adults","Dhaka 206",8.84828062154378
"Raw Produce",2,206,"Kamalapur","Children","c",0.0825517846450228,0.820233660992446,231,3.44268475507408,2.04138873528472,8,0.866,372475632.268367,372475632.268367,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Raw Produce","Dhaka 206 Children","Dhaka 206",7.30019999547969
"Surface Water",5,206,"Kamalapur","Adults","a",0.0125555742266089,0.122459046473239,153,5.13141249170614,1.56829075111654,9,0.431,6789985.30636824,6789985.30636824,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 206 Adults","Dhaka 206",0.0439042123455421
"Surface Water",5,206,"Kamalapur","Children","c",0.0257649180340779,0.149369210491728,153,5.13141249170614,1.56829075111654,9,0.428,9088932.85004747,9088932.85004747,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Surface Water","Dhaka 206 Children","Dhaka 206",0.178135216918099
"Street Food",10,206,"Kamalapur","Adults","a",0.0848791272209676,0.697636794153763,254,3.97846360739042,1.33755655347939,9,0.815,24373572.6560731,24373572.6560731,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 206 Adults","Dhaka 206",0.157600121536065
"Street Food",10,206,"Kamalapur","Children","c",0.0882293931893796,1.05991718161921,229,3.97846360739042,1.33755655347939,9,0.922,33596272.0694955,33596272.0694955,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Street Food","Dhaka 206 Children","Dhaka 206",0.658457853245973
"Bathing Water",9,207,"Shampur","Adults","a",0.610018473214283,18.4768877568011,240,2.5764551566975,1.8234532842499,10,1,659544.628477534,659544.628477534,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 207 Adults","Dhaka 207",0.00169131393138408
"Bathing Water",9,207,"Shampur","Children","c",0.75866046648701,51.6217112207053,221,2.5764551566975,1.8234532842499,10,1,6201885.95699419,6201885.95699419,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Bathing Water","Dhaka 207 Children","Dhaka 207",0.00648828101880467
"Open Drain Water",1,207,"Shampur","Adults","a",0.0269347991898861,0.661892830786042,244,7.59410414146256,0.760947802935681,10,0.921,2796758.53412694,2796758.53412694,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 207 Adults","Dhaka 207",0.00717191296426023
"Open Drain Water",1,207,"Shampur","Children","c",0.0423214526147727,0.868324276282047,222,7.59410414146256,0.760947802935681,10,0.931,36253943.3396406,36253943.3396406,2,"Bangladesh","Dhaka","Dhaka 17",2017-03-01,"Open Drain Water","Dhaka 207 Children","Dhaka 207",0.0379281034927986
