sampleid,sample_type,col_start_dt,lab_sf_weight,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,renuka_ec,log_ec,log_renuka_ec
SL1012,8,2019/09/02 03:49:30,NA,2,0,0,0.1,0.01,NA,NA,10,NA,1,NA
SL1013,8,2019/09/11 07:02:57,NA,2,6,3,0.01,0.001,NA,NA,3600,6000,3.5563025007672873,3.7781512503836434
SL2001,8,2020/01/15 06:46:59,NA,2,2,0,0.1,0.01,0,0.001,40,40,1.6020599913279623,1.6020599913279623
SL2001OLD,8,2019/05/06 04:35:50,NA,2,998,998,1,0.1,998,0.01,40000,NA,4.6020599913279625,NA
SL2002,8,2020/01/27 07:15:10,NA,2,8,0,0.1,0.01,0,0.001,160,160,2.2041199826559246,2.2041199826559246
SL2002OLD,8,2019/05/06 04:47:00,NA,2,0,998,1,0.1,998,0.01,NA,NA,NA,NA
SL2003,8,2020/02/18 05:40:44,NA,2,42,0,0.1,0.01,0,0.001,840,840,2.9242792860618816,2.9242792860618816
SL2003OLD,8,2019/05/13 07:13:22,NA,2,998,5,1,0.1,0,0.01,100,NA,2,NA
SL2004,8,2020/03/11 05:17:57,NA,2,0,0,0.1,0.01,0,0.001,10,0,1,NA
SL2004OLD,8,2019/05/13 07:33:05,NA,2,0,0,1,0.1,0,0.01,1,NA,0,NA
SL2005,8,2020/03/16 04:31:52,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1001,5,2019/05/14 08:57:58,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1002,5,2019/05/21 04:13:50,NA,100,999,999,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1003,5,2019/05/28 03:47:37,NA,100,999,999,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1004,5,2019/06/04 04:14:28,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1005,5,2019/07/30 06:41:14,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1006,5,2019/07/30 06:59:26,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1007,5,2019/08/05 07:55:57,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1008,5,2019/08/20 06:42:28,NA,100,998,998,10,1,NA,NA,20000,NA,4.301029995663981,NA
SW1009,5,2019/09/02 06:54:26,NA,100,998,58,0.01,0.001,NA,NA,5800000,NA,6.763427993562937,NA
SW1010,5,2019/09/11 06:34:20,NA,100,998,998,0.1,0.01,NA,NA,2000000,NA,6.301029995663981,NA
SW2001,5,2020/01/22 06:26:05,NA,100,0,0,0.1,0.01,0,0.001,500,0,2.6989700043360187,NA
SW2001OLD,5,2019/05/07 04:32:51,NA,100,25,2,10,1,NA,NA,250,NA,2.3979400086720375,NA
SW2002,5,2020/02/18 05:23:31,NA,100,34,6,1,0.1,0,0.01,3400,4700,3.531478917042255,3.6720978579357175
SW2003,5,2020/03/11 05:14:17,NA,100,0,1,1,0.1,0,0.01,NA,1000,NA,3
SW2004,5,2020/03/19 04:00:06,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
