sample_id,project,neighborhood,sample_type,sample_name,collection_datetime,way_point,GPS_latitude,GPS_longitude,notes,processing_datetime,incubation_start_datetime,incubation_end_datetime,dilution1,dilution2,count1,count2,plate1_tntc,plate2_tntc,produce_weight,blank_count,collector_name,lab_operator_name
40,1,1,1,PSL010,3/14/2014 10:05,PSL010,12.91136,79.1467,"NEAR TEMPLE, NEAR OPEN DEFECATION, AND WATER TANK, PUBLIC TAP, ANIMAL FECES.",3/14/2014 14:00,3/14/2014 14:09,3/15/2014 12:00,100,1000,4,0,FALSE,FALSE,None,0,A.GEETHA,DANIEL
41,1,1,1,PSL008,3/14/2014 9:45,PSL008,12.9146,79.14033,NEAR ANIMAL SHED,3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,None,20,TRUE,FALSE,None,0,A.GEETHA,DANIEL
42,1,1,1,PSL007,3/14/2014 8:40,PSL007,12.91248,79.14088,"NEAR MAJITH , ANIMAL FECES MIXED IN THIS SOIL.",3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,None,3,TRUE,FALSE,None,0,A.GEETHA,DANIEL
43,1,1,3,PVG008,3/14/2014 8:55,PVG008,12.91295,79.14125,,3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,None,None,TRUE,TRUE,180,0,A.GEETHA,DANIEL
44,1,1,3,PVG009,3/14/2014 9:30,PVG009,12.91303,79.14077,NEAR OPEN DRAINAGE,3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,1,0,FALSE,FALSE,200,0,A.GEETHA,DANIEL
45,1,1,3,PVG010,3/14/2014 10:15,MARI,12.91022,79.14024,"THIS GENERAL VEGETABLES MARKET, MARKET IS BUILD ON CEMENT CONCRETE PLAT FORM ABOVE DRAIN.",3/14/2014 14:00,3/14/2014 16:00,3/15/2014 12:00,100,1000,0,0,FALSE,FALSE,20,0,A.GEETHA,DANIEL
46,1,1,1,PSL003,3/7/2014 10:36,PSL003,12.9128,79.14055,"PUBLIC CHILD PLAYING AREA, ANIMAL FECES VISIBLE, NEAR WELL AND OPEN DRAIN.",3/7/2014 14:00,3/7/2014 16:00,3/8/2014 12:00,100,1000,8,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
47,1,2,3,PVG101,3/18/2014 10:10,PVG101,12.90084,79.12321,NEAR OPEN DRAINAGE AND EMPTY FLAT.,3/18/2014 14:00,3/18/2014 16:00,3/19/2014 16:00,100,1000,12,2,FALSE,FALSE,250,0,T.THENPANDIYAN,DANIEL
48,1,2,3,PVG102,3/20/2014 10:18,PVG102,12.90135,79.12347,NEAR TEMPLE PUBLIC COMMON PLACE,3/20/2014 14:00,3/20/2014 16:00,3/21/2014 16:00,100,1000,43,10,FALSE,FALSE,20,0,T.THENPANDIYAN,DANIEL
49,1,2,3,PVG103,3/21/2014 8:35,CPVG001,12.89572,79.12326,NEAR EMPTY FLAT,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,13,1,FALSE,FALSE,15,0,T.THENPANDIYAN,DANIEL
50,1,2,3,PVG104,3/21/2014 9:20,CPVG002,12.89697,79.12476,,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,None,None,TRUE,TRUE,20,0,T.THENPANDIYAN,DANIEL
51,1,2,3,PVG105,3/21/2014 9:45,CPVG003,12.89784,79.12511,"NEAR PUBLIC COMMON PLACE, PLAY AREA WATER TANK",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,17,1,FALSE,FALSE,150,0,T.THENPANDIYAN,DANIEL
52,1,2,1,PSL101,3/18/2014 10:07,PSL101,12.90006,79.12314,NEAR OPEN ANIMAL SHED AND EMPTY FLAT.,3/18/2014 14:00,3/18/2014 16:00,3/19/2014 16:00,100,1000,133,19,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
53,1,2,1,PSL102,3/20/2014 10:21,PSL102,12.90124,79.12344,"NEAR ANIMAL SHED, TEMPLE, CHILD PLAY AREA. NEAR CAP CLINIC PUBLIC COMMON PLACE.",3/20/2014 14:00,3/20/2014 16:00,3/21/2014 16:00,100,1000,None,5,TRUE,FALSE,None,0,T.THENPANDIYAN,DANIEL
54,1,2,1,PSL103,3/21/2014 8:45,CPSL001,12.89609,79.12319,"NEAR PUBLIC TOILET, EMPTY FLAT",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
55,1,2,1,PSL105,3/21/2014 9:30,CPSL003,12.89715,79.12503,NEAR BALWADI,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
56,1,2,1,PSL104,3/21/2014 9:25,CPSL002,12.89703,79.124182,NEAR RAILWAY TRACK,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,3,47,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
57,1,2,1,PSL106,3/21/2014 9:35,CPSL004,12.89758,79.12501,"NEAR WATER TANK, ANIMAL FECES MIXED IN THIS SOIL. NEAR OPEN DRAINAGE.",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
58,1,2,1,PSL107,3/21/2014 9:50,CPSL005,12.89849,79.12538,NEAR PUBLIC TOILET.,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
59,1,2,1,PSL108,3/21/2014 10:20,CPSL006,12.8989,79.12577,"NEAR BORE WELL, RUBBISH DUMPING AREA.",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
60,1,2,1,PSL109,3/21/2014 10:40,CPSL007,12.90043,79.12555,SCHOOL,3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,100,1000,3,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
61,1,2,2,PSW101,3/21/2014 8:50,CPT001,12.8961,79.12336,"BUCKET, TAP, WALLS, DOOR",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,10,100,23,None,FALSE,TRUE,None,0,SHIVAPRASAD,DANIEL
62,1,2,2,PSW102,3/21/2014 8:56,CPT001,12.8961,79.12336,"BUCKET, TAP WALLS, DOOR",3/21/2014 14:00,3/21/2014 14:16,3/22/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,T.THENPANDIYAN,DANIEL
63,1,2,2,PSW103,3/21/2014 8:50,CPT001,12.8961,79.12336,"TAP, WALL, BUCKET, DOOR.",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,A.GEETHA,DANIEL
64,1,2,2,PSW104,3/21/2014 8:55,CPT001,12.8961,79.12336,"TAP, WALL, DOOR, BUCKET.",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,10,100,None,None,TRUE,TRUE,None,0,A.GEETHA,DANIEL
65,1,2,2,PSW106,3/21/2014 10:00,CPT002,12.89853,79.12516,"WALL, TAP, BUCKET",3/21/2014 14:00,3/21/2014 16:00,3/22/2014 12:00,10,100,152,1,FALSE,FALSE,None,0,A.GEETHA,DANIEL
66,1,2,4,PPW005,3/24/2014 16:20,PPW005,12.91381,79.1386,"NEAR UMK SCHOOL, OPEN DRAINAGE, TEMPLE.",3/25/2014 14:00,3/25/2014 16:00,3/26/2014 9:12,1,1,0,0,FALSE,FALSE,None,0,T.THENPANDIYAN,DANIEL
