lab_start_dt,subscriberid,simserial,deviceid,today,lab_end_dt,lab_ward,lab_neighborhood,lab_sample_type,lab_sample_type_fp,lab_sample_type_co,lab_id,lab_id_val,lab_dna_yn,lab_dna_date,lab_closing,lab_notes,lab_enum,__version__,_id,_uuid,_submission_time,_index
2019-11-21T11:10:42.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:11:23.000-07:00,59,1,99,NA,NA,FB1119UP,FB1119UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample PLc1068,5,vZuNQT2A5qaSmAjh3k5sZF,5372,5085b3f1-839b-420b-95ae-13eb3cececf7,2019-11-21T05:38:41,585
2019-11-21T11:11:23.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:11:47.000-07:00,59,1,11,NA,NA,PLc1069,PLc1069,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5373,ce62c7eb-2f56-48c0-a995-af4d292c1976,2019-11-21T05:39:05,586
2019-11-21T11:11:47.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:12:46.000-07:00,59,1,99,NA,NA,FB1120UP,FB1120UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample PLc1069,5,vZuNQT2A5qaSmAjh3k5sZF,5374,7376f845-f086-4bd6-93fd-8f2e1f28297e,2019-11-21T05:40:04,587
2019-11-21T11:12:46.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:13:36.000-07:00,59,1,11,NA,NA,PLc1070,PLc1070,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5375,4b12727e-c64b-48a9-b3b7-e273b850c5c9,2019-11-21T05:40:56,588
2019-11-21T11:13:37.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:14:22.000-07:00,59,1,99,NA,NA,FB1121UP,FB1121UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample PLc1070,5,vZuNQT2A5qaSmAjh3k5sZF,5376,5562440d-5db9-40d4-a964-1c2e70966b48,2019-11-21T05:41:41,589
2019-11-21T11:14:23.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:15:19.000-07:00,59,1,11,NA,NA,PLc1071,PLc1071,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5377,13da5fa3-4eb9-4b28-b618-ed63e6ad408b,2019-11-21T05:42:37,590
2019-11-21T11:15:19.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:16:01.000-07:00,59,1,99,NA,NA,FB1122,FB1122,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample PLc1071,5,vZuNQT2A5qaSmAjh3k5sZF,5378,a82d99f5-c098-4ca3-96b5-5d57911bf2a2,2019-11-21T05:43:20,591
2019-11-21T11:16:01.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:16:31.000-07:00,59,1,11,NA,NA,PLc1072,PLc1072,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5379,021ffc22-4ec8-4749-9512-88cd62286264,2019-11-21T05:43:49,592
2019-11-21T11:16:31.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:17:10.000-07:00,59,1,99,NA,NA,FB1123UP,FB1123UP,1,2019-11-08T15:00:00.000-07:00,NA,Associated Sample PLc1072,5,vZuNQT2A5qaSmAjh3k5sZF,5380,4fdc8dca-8e98-44ee-86f6-b07233ef1d9d,2019-11-21T05:44:28,593
2019-11-21T11:17:10.000-07:00,subscriberid not found,simserial not found,enketo.sanipath.org:hSyuNcpgwTIMP2tW,2019/11/21 00:00:00,2019-11-21T11:17:36.000-07:00,33,1,98,NA,NA,UPNC45,UPNC45,1,2019-11-08T15:00:00.000-07:00,NA,NA,5,vZuNQT2A5qaSmAjh3k5sZF,5381,ab1134d4-e125-4217-af43-75c898044523,2019-11-21T05:44:54,594
