"lab_start_dt","subscriberid","simserial","deviceid","lab_end_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_analysis","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_note","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_1_ecoli_reading_idexx","lab_1_ecoli_big_idexx","lab_1_ecoli_small_idexx","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_2_ecoli_reading_idexx","lab_2_ecoli_big_idexx","lab_2_ecoli_small_idexx","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_3_ecoli_reading_idexx","lab_3_ecoli_big_idexx","lab_3_ecoli_small_idexx","lab_closing_group","lab_notes","lab_enum","lab_photo","X__version__","X_id","X_uuid","X_submission_time","X_index","lab_extra_data","dply_num","lab_UID","lab_date","citylabel"
"2020-01-12T22:37:17.000-00:00","","","","2020-01-12T22:49:24.000-00:00",3,3061,3061,"2019-12-06T10:20:00.000-00:00","2019-12-06T10:40:00.000-00:00","2019-12-08T08:45:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"51db3266-ac2e-465f-8a1a-9e4c8df1e4f4","2020-01-12T22:49:30",,,12,"12_03_3061","2019-12-06","Dakar 19"
"2020-01-12T22:49:25.000-00:00","","","","2020-01-12T22:50:45.000-00:00",3,3062,3062,"2019-12-06T10:20:00.000-00:00","2019-12-06T10:40:00.000-00:00","2019-12-08T08:45:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"d184239a-0522-4af3-8b9e-1489b6ac93b7","2020-01-12T22:50:51",,,12,"12_03_3062","2019-12-06","Dakar 19"
"2020-01-12T22:50:45.000-00:00","","","","2020-01-12T22:51:56.000-00:00",3,3063,3063,"2019-12-06T10:20:00.000-00:00","2019-12-06T10:40:00.000-00:00","2019-12-08T08:45:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"394f31c2-5dde-4b32-8fa2-0d965d8b9826","2020-01-12T22:52:03",,,12,"12_03_3063","2019-12-06","Dakar 19"
"2020-01-12T22:51:57.000-00:00","","","","2020-01-12T22:53:55.000-00:00",3,3064,3064,"2019-12-06T10:20:00.000-00:00","2019-12-06T10:40:00.000-00:00","2019-12-08T08:45:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"07b3529d-3673-47f0-b761-4e253c8d4b70","2020-01-12T22:54:01",,,12,"12_03_3064","2019-12-06","Dakar 19"
"2020-01-12T22:53:55.000-00:00","","","","2020-01-12T22:55:16.000-00:00",3,3065,3065,"2019-12-06T10:20:00.000-00:00","2019-12-06T10:40:00.000-00:00","2019-12-08T08:45:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"7f7ff2de-ee6b-44dc-8277-f991e3476811","2020-01-12T22:55:23",,,12,"12_03_3065","2019-12-06","Dakar 19"
"2020-01-12T22:55:16.000-00:00","","","","2020-01-12T22:57:13.000-00:00",3,3066,3066,"2019-12-10T10:50:00.000-00:00","2019-12-10T11:10:00.000-00:00","2019-12-12T11:00:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"84d70fc8-00ed-462b-bd7d-4bac488a1d2f","2020-01-12T22:57:19",,,12,"12_03_3066","2019-12-10","Dakar 19"
"2020-01-12T22:57:13.000-00:00","","","","2020-01-12T22:58:44.000-00:00",3,3067,3067,"2019-12-10T10:50:00.000-00:00","2019-12-10T11:10:00.000-00:00","2019-12-12T11:00:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"eb350b73-5b20-4db6-90b7-6ad281886ea0","2020-01-12T22:58:50",,,12,"12_03_3067","2019-12-10","Dakar 19"
"2020-01-12T22:58:44.000-00:00","","","","2020-01-12T23:00:02.000-00:00",3,3068,3068,"2019-12-10T10:50:00.000-00:00","2019-12-10T11:10:00.000-00:00","2019-12-12T11:00:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"2e176d5e-0db2-445b-a0b7-e8e63c81c125","2020-01-12T23:00:09",,,12,"12_03_3068","2019-12-10","Dakar 19"
"2020-01-12T23:00:02.000-00:00","","","","2020-01-12T23:01:31.000-00:00",3,3069,3069,"2019-12-10T10:50:00.000-00:00","2019-12-10T11:10:00.000-00:00","2019-12-12T11:00:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","kb",0,,,"a91ad205-2ade-40e6-9c7e-daf83d161653","2020-01-12T23:01:37",,,12,"12_03_3069","2019-12-10","Dakar 19"
"2020-01-12T23:01:31.000-00:00","","","","2020-01-12T23:02:42.000-00:00",3,3070,3070,"2019-12-10T10:50:00.000-00:00","2019-12-10T11:10:00.000-00:00","2019-12-12T11:00:00.000-00:00",2,,,,,7,100,3,0,,,,6,100,3,0,,,,0,,,,,,,,,"","KB",0,,,"5e81b903-23f9-4459-bca3-4e7c97adb031","2020-01-12T23:02:49",,,12,"12_03_3070","2019-12-10","Dakar 19"
