"city","sample_type","pop","sum","a3","a2","a1","a0"
"Kampala","Floodwater","Adults",755,0.144370860927152,0.140397350993377,0.303311258278146,0.411920529801324
"Kumasi","Floodwater","Adults",911,0.228320526893524,0.19648737650933,0.297475301866081,0.277716794731065
"Lusaka","Floodwater","Adults",903,0.481727574750831,0.130675526024363,0.209302325581395,0.178294573643411
"Maputo","Floodwater","Adults",239,0.527196652719665,0.209205020920502,0.188284518828452,0.0753138075313808
"Siem Reap","Floodwater","Adults",410,0.448780487804878,0.197560975609756,0.302439024390244,0.0512195121951219
"Vellore","Floodwater","Adults",417,0.23021582733813,0.129496402877698,0.304556354916067,0.335731414868106
"Accra","Public Latrine","Adults",1794,0.3561872909699,0.147714604236343,0.183389074693423,0.312709030100334
"Atlanta","Public Latrine","Adults",21,0.0952380952380952,0.142857142857143,0.666666666666667,0.0952380952380952
"Dakar","Public Latrine","Adults",0,,,,
"Dhaka","Public Latrine","Adults",1727,0.497394325419803,0.171395483497394,0.0735379270411118,0.257672264041691
"Kampala","Public Latrine","Adults",742,0.28167115902965,0.177897574123989,0.0929919137466307,0.44743935309973
"Kumasi","Public Latrine","Adults",934,0.517130620985011,0.221627408993576,0.101713062098501,0.159528907922912
"Lusaka","Public Latrine","Adults",916,0.467248908296943,0.140829694323144,0.170305676855895,0.221615720524017
"Maputo","Public Latrine","Adults",99,0.141414141414141,0.545454545454545,0.292929292929293,0.0202020202020202
"Siem Reap","Public Latrine","Adults",0,,,,
"Vellore","Public Latrine","Adults",433,0.150115473441109,0.10161662817552,0.302540415704388,0.445727482678984
"Accra","Bathing Water","Adults",446,0.847533632286996,0.130044843049327,0.0201793721973094,0.00224215246636771
"Atlanta","Bathing Water","Adults",0,,,,
"Dakar","Bathing Water","Adults",1019,0.699705593719333,0.167811579980373,0.125613346418057,0.00686947988223749
"Dhaka","Bathing Water","Adults",1768,0.316176470588235,0.583710407239819,0.0927601809954751,0.00735294117647059
"Kampala","Bathing Water","Adults",762,0.849081364829396,0.146981627296588,0.0026246719160105,0.00131233595800525
"Kumasi","Bathing Water","Adults",958,0.931106471816284,0.0615866388308977,0.00626304801670146,0.00104384133611691
