"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Street Food",10,203,"Gabtoli","Adults","a",0.0506036138803384,0.639872048205806,233,3.80514479465338,1.96920987969686,9,0.847,403630380.00731,403630380.00731,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 203 Adults","Dhaka 203",1.84551802972521
"Street Food",10,203,"Gabtoli","Children","c",0.123182163138091,1.63280975628727,191,3.80514479465338,1.96920987969686,9,0.964,743523223.738214,743523223.738214,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 203 Children","Dhaka 203",1.93036333658631
"Bathing Water",9,204,"Uttarkhan","Adults","a",0.655426435305855,22.7197456904362,118,1.13946364637631,1.50386582867399,10,1,4554.2262713152,4554.2262713152,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 204 Adults","Dhaka 204",8.63291028963059e-05
"Bathing Water",9,204,"Uttarkhan","Children","c",0.757446694512691,56.0884171697616,117,1.13946364637631,1.50386582867399,10,1,45384.6138541892,45384.6138541892,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 204 Children","Dhaka 204",0.000677085247507207
"Open Drain Water",1,204,"Uttarkhan","Adults","a",0.013088512972683,0.198615637581242,119,7.03557148421575,0.723563553573937,10,0.584,334973.417780837,334973.417780837,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 204 Adults","Dhaka 204",0.00634969650789397
"Open Drain Water",1,204,"Uttarkhan","Children","c",0.0362661709731726,0.340049738343151,117,7.03557148421575,0.723563553573937,10,0.707,3190931.86750231,3190931.86750231,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 204 Children","Dhaka 204",0.047604963660763
"Municipal Drinking Water",3,204,"Uttarkhan","Adults","a",0.0259115238490197,0.568772751129165,119,1.97574723832321,1.90263731999101,10,0.863,181101880.328788,181101880.328788,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 204 Adults","Dhaka 204",3.43293502127714
"Municipal Drinking Water",3,204,"Uttarkhan","Children","c",0.0173158590089551,0.501586448884734,117,1.97574723832321,1.90263731999101,10,0.881,8781265.57640987,8781265.57640986,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 204 Children","Dhaka 204",0.131006190673608
"Floodwater",6,204,"Uttarkhan","Adults","a",0.088406920659976,0.818311763955784,119,4.97668238255099,0.950740324151254,8,0.884,35602.1897922172,35602.1897922172,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 204 Adults","Dhaka 204",0.00067486877524391
"Floodwater",6,204,"Uttarkhan","Children","c",0.0608580685694694,0.714995022674418,117,4.97668238255099,0.950740324151254,8,0.857,461055.82067027,461055.82067027,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 204 Children","Dhaka 204",0.00687841248261173
"Public Latrine",7,204,"Uttarkhan","Adults","a",0.00907631488843027,0.0772022628547212,119,0.344524339147942,1.07597856828707,10,0.304,41.1800078713231,41.1800078713231,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 204 Adults","Dhaka 204",7.80600902327914e-07
"Public Latrine",7,204,"Uttarkhan","Children","c",0.0249925011297231,0.140718561331845,117,0.344524339147942,1.07597856828707,10,0.393,139.130614237807,139.130614237807,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 204 Children","Dhaka 204",2.07566570203042e-06
"Raw Produce",2,204,"Uttarkhan","Adults","a",0.0825719267253703,0.616459514169145,119,2.70525802246841,1.76215181653925,8,0.787,8523710.30625959,8523710.30625959,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 204 Adults","Dhaka 204",0.161573935999207
"Raw Produce",2,204,"Uttarkhan","Children","c",0.0524295162103161,0.403715530244468,117,2.70525802246841,1.76215181653925,8,0.692,9454407.90960125,9454407.90960125,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Raw Produce","Dhaka 204 Children","Dhaka 204",0.141048685355634
"Surface Water",5,204,"Uttarkhan","Adults","a",0.0378098290578465,0.268561789530579,119,3.61734448660779,1.60246383079534,9,0.604,194790.69958226,194790.69958226,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 204 Adults","Dhaka 204",0.00369241784348674
"Surface Water",5,204,"Uttarkhan","Children","c",0.0307664210845298,0.262409816585059,117,3.61734448660779,1.60246383079534,9,0.654,10607766.2164407,10607766.2164407,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Surface Water","Dhaka 204 Children","Dhaka 204",0.158255439546818
"Street Food",10,204,"Uttarkhan","Adults","a",0.128040435344612,0.531404250471548,119,3.54711400952563,1.98318378446583,7,0.675,266643690.386901,266643690.386901,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 204 Adults","Dhaka 204",5.05445035286178
"Street Food",10,204,"Uttarkhan","Children","c",0.0680740236699614,0.691851570491458,117,3.54711400952563,1.98318378446583,7,0.851,555254993.069067,555254993.069067,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Street Food","Dhaka 204 Children","Dhaka 204",8.28375373247954
"Bathing Water",9,205,"Gulshan","Adults","a",0.972953924719205,453.743164387438,81,0.21251618402191,1.10514397654458,10,1,173.002274778206,173.002274778206,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 205 Adults","Dhaka 205",1.60381926338645e-05
"Bathing Water",9,205,"Gulshan","Children","c",0.962992616016909,347.646124671176,77,0.21251618402191,1.10514397654458,10,1,144.402563514503,144.402563514503,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 205 Children","Dhaka 205",7.00320089388613e-05
"Open Drain Water",1,205,"Gulshan","Adults","a",0.975657869511881,1.78190356229824,81,7.09117234230416,0.632216743744252,10,0.037,1219.98406900058,1219.98406900058,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 205 Adults","Dhaka 205",0.000113098741238875
"Open Drain Water",1,205,"Gulshan","Children","c",0.279142020257633,0.0578936008900718,77,7.09117234230416,0.632216743744252,10,0.077,41675.641641158,41675.641641158,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 205 Children","Dhaka 205",0.0202117527342458
"Municipal Drinking Water",3,205,"Gulshan","Adults","a",0.836709508928099,135.121014047334,81,-0.0518074169292436,0.919084108587986,10,1,2481.58454474857,2481.58454474857,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 205 Adults","Dhaka 205",0.000230055535494683
"Municipal Drinking Water",3,205,"Gulshan","Children","c",0.771177310302457,100.72372724676,77,-0.0518074169292436,0.919084108587986,10,1,1202.82815556731,1202.82815556731,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 205 Children","Dhaka 205",0.000583344714196459
"Floodwater",6,205,"Gulshan","Adults","a",0.172335324212699,0.212049862664446,81,5.70991559088249,0.325457727141536,9,0.312,1737.88369089618,1737.88369089618,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 205 Adults","Dhaka 205",0.000161110675831157
"Floodwater",6,205,"Gulshan","Children","c",0.285054660147949,0.199731903887597,77,5.70991559088249,0.325457727141536,9,0.24,16716.340217871,16716.340217871,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 205 Children","Dhaka 205",0.00810705058878967
"Public Latrine",7,205,"Gulshan","Adults","a",0.0859423181924262,0.0574644574303947,77,-0.154901943795425,1.14414072829143e-05,10,0.125,0.0616182958321159,0.0616182958321159,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 205 Adults","Dhaka 205",5.71233008116733e-09
"Public Latrine",7,205,"Gulshan","Children","c",0.0512936640842822,0.55033964544164,75,-0.154901943795425,1.14414072829143e-05,10,0.79,1.05315101885076,1.05315101885076,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Public Latrine","Dhaka 205 Children","Dhaka 205",5.1075465539585e-07
