"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc"
"05_08_1108",5,"2015-03-12",8,"","1108",TRUE,"2",502,7,0,,1,0.1,,7,0,,7,0,1,0.1,14
"05_08_1109",5,"2015-03-24",8,"","1109",TRUE,"2",502,998,999,77,10,1,0.1,998,999,77,998,999,10,1,1540
"05_08_1110",5,"2015-05-12",8,"","1110",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1111",5,"2015-03-26",8,"","1111",TRUE,"1",501,999,999,999,10,1,0.1,999,999,999,999,999,10,1,4000
"05_08_1112",5,"2015-03-03",8,"","1112",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1113",5,"2015-03-03",8,"","1113",TRUE,"1",501,998,998,,1,0.1,,998,998,,998,998,1,0.1,4000
"05_08_1114",5,"2015-03-05",8,"","1114",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1115",5,"2015-03-06",8,"","1115",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1116",5,"2015-03-09",8,"","1116",TRUE,"1",501,999,999,,1,0.1,,999,999,,999,999,1,0.1,4000
"05_08_1117",5,"2015-03-06",8,"","1117",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1118",5,"2015-03-09",8,"","1118",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1119",5,"2015-03-10",8,"","1119",TRUE,"1",501,0,0,999,1,0.1,0.01,0,0,999,0,0,1,0.1,
"05_08_1120",5,"2015-03-10",8,"","1120",TRUE,"1",501,0,0,999,1,0.1,0.01,0,0,999,0,0,1,0.1,
"05_08_1121",5,"2015-03-25",8,"","1121",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1122",5,"2015-03-25",8,"","1122",TRUE,"1",501,0,0,,1,0.1,,0,0,,0,0,1,0.1,1
"05_08_1123",5,"2015-05-12",8,"","1123",TRUE,"1",501,22,13,,1,0.1,,22,13,,22,13,1,0.1,152
"05_09_1000",5,"2015-05-12",9,"","1000",TRUE,"1",501,999,83,,100,10,,999,83,,999,83,100,10,830
"05_09_1001",5,"2015-03-26",9,"","1001",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1002",5,"2015-03-03",9,"","1002",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1003",5,"2015-03-02",9,"","1003",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1004",5,"2015-03-05",9,"","1004",TRUE,"1",501,0,1,,100,10,,0,1,,0,1,100,10,
"05_09_1005",5,"2015-03-05",9,"","1005",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1006",5,"2015-03-06",9,"","1006",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1007",5,"2015-03-09",9,"","1007",TRUE,"1",501,19,4,,10,1,,19,4,,19,4,10,1,190
"05_09_1008",5,"2015-03-06",9,"","1008",TRUE,"1",501,0,0,,100,10,,0,0,,0,0,100,10,0.5
"05_09_1009",5,"2015-03-09",9,"","1009",TRUE,"1",501,3,0,,10,1,,3,0,,3,0,10,1,30
